Engine,No of Parameters,Finetuned version of LLM,Use of RLHF,Open Source,Size of dataset,context length,conversational,code,longlora,longQA,Step Back,Chain of Thought
gpt-4,1760,No,Yes,No,1.56,8,No,No,No,No,No,No
text-davinci-003,170,No,Yes,No,1.37,4,No,No,No,No,No,No
text-davinci-002,170,No,No,No,1.37,4,No,No,No,No,No,No
claude-1,100,No,RLAIF,No,3.7,100,No,No,No,No,No,No
claude-2,200,No,RLAIF,No,7.4,100,No,No,No,No,No,No
llama_65,65,No,No,Yes,1.4,2,No,No,No,No,No,No
llama_30,33,No,No,Yes,1.4,2,No,No,No,No,No,No
llama_13,13,No,No,Yes,3.4,2,No,No,No,No,No,No
llama_7,7,No,No,Yes,1.4,2,No,No,No,No,No,No
vicuna_13,13,llama_13,No,Yes,1.77,2,Yes,No,No,No,No,No
vicuna_7,7,llama_7,No,Yes,1.77,2,Yes,No,No,No,No,No
text-bison@002,340,No,Yes,No,1.4,8,No,No,No,No,No,No
hf_falcon-40b,40,No,No,Yes,0.54,2,No,No,No,No,No,No
hf_falcon-40b-instruct,40,hf_falcon-40b,No,Yes,0.6,2,No,No,No,No,No,No
hf_mpt-30b,30,No,No,Yes,1.76,8,No,No,No,No,No,No
hf_mpt-30b-instruct,30,hf_mpt-30b,No,Yes,1.8,8,No,No,No,No,No,No
hf_mpt-30b-chat,30,hf_mpt-30b,No,Yes,1.8,8,Yes,No,No,No,No,No
llama-2-70,70,No,No,Yes,2,4,No,No,No,No,No,No
llama-2-13,13,No,No,Yes,2,4,No,No,No,No,No,No
llama-2-7,7,No,No,Yes,2,4,No,No,No,No,No,No
llama-2-70-chat,70,Yes,Yes,Yes,2,4,Yes,No,No,No,No,No
llama-2-13-chat,13,Yes,Yes,Yes,2,4,Yes,No,No,No,No,No
llama-2-7-chat,7,Yes,Yes,Yes,2,4,Yes,No,No,No,No,No
hf_vicuna-7b-v1.5,7,llama-2-7,Yes,Yes,2.37,4,Yes,No,No,No,No,No
hf_vicuna-13b-v1.5,13,llama-2-13,Yes,Yes,2.37,4,Yes,No,No,No,No,No
hf_vicuna-7b-v1.3,7,llama_7,No,Yes,1.77,2,Yes,No,No,No,No,No
hf_vicuna-13b-v1.3,13,llama_13,No,Yes,177,2,Yes,No,No,No,No,No
hf_vicuna-33b-v1.3,33,llama_30,No,Yes,1.77,2,Yes,No,No,No,No,No
hf_koala-13B-HF,13,llama_13,No,Yes,1.4,2,Yes,Yes,No,No,No,No
hf_koala-7B-HF,7,llama_7,No,Yes,1.4,2,Yes,Yes,No,No,No,No
hf_Llama-2-7b-longlora-100k-ft,7,llama-2-7,No,Yes,2,100,No,No,No,Yes,No,No
hf_Llama-2-7b-longlora-8k-ft,7,llama-2-7,No,Yes,2,8,No,No,No,Yes,No,No
hf_Llama-2-7b-longlora-16k-ft,7,llama-2-7,No,Yes,2,16,No,No,No,Yes,No,No
hf_Llama-2-7b-longlora-32k-ft,7,llama-2-7,No,Yes,2,32,No,No,No,Yes,No,No
hf_Llama-2-7b-longlora-32k,7,llama-2-7,No,Yes,2,32,No,No,Yes,Yes,No,No
hf_Llama-2-13b-longlora-32k-ft,13,llama-2-13,No,Yes,2,32,No,No,No,Yes,No,No
hf_Llama-2-13b-longlora-64k,13,llama-2-13,No,Yes,2,64,No,No,Yes,Yes,No,No
hf_Llama-2-13b-longlora-32k,13,llama-2-13,No,Yes,2,32,No,No,Yes,Yes,No,No
hf_Llama-2-70b-longlora-32k,70,llama-2-70,No,Yes,2,32,No,No,Yes,Yes,No,No
hf_Llama-2-70b-chat-longlora-32k,70,llama-2-70-chat,Yes,Yes,2,32,Yes,No,Yes,Yes,No,No
hf_LongAlpaca-7B,7,llama-2-7,No,Yes,2,16,Yes,No,No,Yes,No,No
hf_LongAlpaca-13B,13,llama-2-13,No,Yes,2,16,Yes,No,No,Yes,No,No
hf_LongAlpaca-70B,70,llama-2-70,No,Yes,2,16,Yes,No,Yes,Yes,No,No
hf_CodeLlama-7B,7,llama-2-7,No,Yes,2.5,16,No,Yes,No,No,No,No
hf_CodeLlama-13B,13,llama-2-13,No,Yes,2.5,16,No,Yes,No,No,No,No
hf_CodeLlama-34B,34,llama-2-34,No,Yes,2.5,16,No,Yes,No,No,No,No
claude-1_sb,100,claude-1,RLAIF,No,3.7,100,No,No,No,No,Yes,No
claude-1_cot,100,claude-1,RLAIF,No,3.7,100,No,No,No,No,No,Yes
claude-2_sb,200,claude-2,RLAIF,No,7.4,100,No,No,No,No,Yes,No
claude-2_cot,200,claude-2,RLAIF,No,7.4,100,No,No,No,No,No,Yes
gpt-4_sb,1760,gpt-4,Yes,No,1.56,8,No,No,No,No,Yes,No
gpt-4_cot,1760,gpt-4,Yes,No,1.56,8,No,No,No,No,No,Yes
llama-2-70_cot,70,llama-2-70,No,Yes,2,4,No,No,No,No,No,Yes
llama-2-70_sb,70,llama-2-70,No,Yes,2,4,No,No,No,No,Yes,No
llama-2-70-chat_cot,70,llama-2-70,Yes,Yes,2,4,Yes,No,No,No,No,Yes
llama-2-70-chat_sb,70,llama-2-70,Yes,Yes,2,4,Yes,No,No,No,Yes,No
hf_Llama-2-70b-longlora-32k_cot,70,llama-2-70,No,Yes,2,32,No,No,Yes,Yes,No,Yes
hf_Llama-2-70b-longlora-32k_sb,70,llama-2-70,No,Yes,2,32,No,No,Yes,Yes,Yes,No
hf_Llama-2-70b-chat-longlora-32k_cot,70,llama-2-70,Yes,Yes,2,32,Yes,No,Yes,Yes,No,Yes
hf_Llama-2-70b-chat-longlora-32k_sb,70,llama-2-70,Yes,Yes,2,32,Yes,No,Yes,Yes,Yes,No
hf_LongAlpaca-70B_cot,70,llama-2-70,No,Yes,2,16,Yes,No,Yes,Yes,No,Yes
hf_LongAlpaca-70B_sb,70,llama-2-70,No,Yes,2,16,Yes,No,Yes,Yes,Yes,No
text-bison@002_sb,340,text-bison@002,Yes,No,1.4,8,No,No,No,No,Yes,No
text-bison@002_cot,340,text-bison@002,Yes,No,1.4,8,No,No,No,No,No,Yes
gemini-pro,100,No,No,No,1.4,32,No,No,No,No,No,No
human,n_a,n_a,n_a,n_a,n_a,n_a,No,No,No,No,No,No
random,n_a,n_a,n_a,n_a,n_a,n_a,No,No,No,No,No,No
meta-RL,n_a,n_a,n_a,n_a,n_a,n_a,No,No,No,No,No,No
rational,n_a,n_a,n_a,n_a,n_a,n_a,No,No,No,No,No,No
