,Agent,Probabilistic Reasoning,Horizon Task,Restless Bandit,Instrumental Learning,Two Step Task,BART
0,gpt-4,0.8526909770223113,53.465695364238414,57.361787500000005,0.5864583333333334,0.534,5.472222222222222
1,text-davinci-003,0.8163579759903598,52.78872282608695,52.3454375,0.5359848484848485,0.5335,1.052991452991453
2,text-davinci-002,0.8236979088377889,52.19346197502838,50.59047499999999,0.5177083333333333,0.52475,0.0
3,claude-1,0.8415526693968199,52.36652618904274,54.489171875000004,0.5459656084656085,0.539,0.6177777777777778
4,claude-2,0.8667623479307155,52.476925119490176,50.98759722222222,0.5616554054054053,0.5109929078014185,0.29999999999999993
5,text-bison@002,0.8105644705785635,48.19718309859155,49.345656250000005,0.5458333333333333,0.507,0.888888888888889
6,hf_falcon-40b,0.7027337202610815,50.85980970249263,49.211565625,0.5122395833333334,0.51045,0.8555555555555555
7,hf_falcon-40b-instruct,0.744202000190381,51.073145370925815,49.604503125,0.5091145833333334,0.5001,1.048888888888889
8,hf_mpt-30b,0.6924791851909544,50.64422177688711,50.123384375,0.52421875,0.4875,0.4844444444444444
9,hf_mpt-30b-instruct,0.7534547875953798,50.47007774602964,50.34188125,0.5221354166666666,0.5018,1.1377777777777778
10,hf_mpt-30b-chat,0.780160951072083,51.034491480298186,49.78004375,0.5309895833333333,0.50485,2.397777777777778
11,llama-2-70,0.773257876831065,52.49692431131319,50.562968749999996,0.5670138888888889,0.485,1.4600000000000002
12,llama-2-13,0.7101621990870366,51.08535784635588,49.9677,0.5203125,0.50745,0.8288888888888888
13,llama-2-7,0.7097964125621172,49.92265780730897,49.870475,0.5015625,0.4984,1.6088888888888888
14,llama-2-70-chat,0.7632089484603477,52.15603799185889,50.206275000000005,0.5440104166666667,0.50805,0.0
15,llama-2-13-chat,0.6927358134668596,52.57324446239817,49.94386875,0.5434895833333333,0.51895,0.0
16,llama-2-7-chat,0.69628982966904,50.59112351338781,49.72678125,0.53359375,0.50585,1.4155555555555555
17,hf_vicuna-7b-v1.5,0.7172006098130589,51.41357908847185,49.955190625,0.49739583333333337,0.50565,0.0
18,hf_vicuna-13b-v1.5,0.7323340887086944,51.98910937395603,49.956134375,0.5638020833333333,0.5126,0.0
19,hf_Llama-2-7b-longlora-100k-ft,0.5184992218392969,49.92250947032631,49.920328125000005,0.5020833333333333,0.5061,0.8177777777777777
20,hf_Llama-2-7b-longlora-8k-ft,0.669525849512906,50.14890736023596,49.751709375,0.50390625,0.50805,1.1466666666666667
21,hf_Llama-2-7b-longlora-16k-ft,0.4990478009047424,50.0631256656017,50.08016250000001,0.49739583333333337,0.50135,0.8755555555555554
22,hf_Llama-2-7b-longlora-32k-ft,0.4910421354474278,49.736651583710405,49.98055312500001,0.496875,0.4959,0.8755555555555554
23,hf_Llama-2-7b-longlora-32k,0.7271096410586915,51.032705077469984,49.849678125000004,0.496875,0.5024,1.2066666666666668
24,hf_Llama-2-13b-longlora-32k-ft,0.7439257019217664,50.89005535916761,49.996540624999994,0.4979166666666666,0.49705,0.20222222222222222
25,hf_Llama-2-13b-longlora-64k,0.7361148883018447,50.72266898209992,50.19529375,0.4971354166666666,0.5091,1.091111111111111
26,hf_Llama-2-13b-longlora-32k,0.7164244735691137,50.79228304405874,49.775462499999996,0.5111979166666666,0.5083409298085688,1.1777777777777778
27,hf_Llama-2-70b-longlora-32k,0.7720158878522319,52.28853048983672,49.989021875000006,0.50703125,0.5069,1.157777777777778
28,hf_Llama-2-70b-chat-longlora-32k,0.7692322852227025,51.33946268656717,49.970878125,0.5489583333333333,0.5067,4.593333333333334
29,hf_LongAlpaca-7B,0.6953867373131616,49.78951500232852,50.27425000000001,0.5065104166666666,0.50245,3.6733333333333333
30,hf_LongAlpaca-13B,0.7001011155677572,49.92495332088557,49.817815625,0.4802083333333334,0.4905,0.6288888888888888
31,hf_LongAlpaca-70B,0.7562439949397596,50.05660907995179,50.096178125,0.540625,0.495,1.1400000000000001
32,hf_CodeLlama-7B,0.6786860968866216,50.31428762095429,49.987003125,0.5127604166666666,0.50085,1.2244444444444444
33,hf_CodeLlama-13B,0.7115861271204225,50.831887925283525,49.947609375,0.5028645833333334,0.4948,2.3266666666666667
34,hf_CodeLlama-34B,0.7279046730963523,49.724996649242726,50.15924062500001,0.4966145833333333,0.51535,0.0
35,gemini-pro,0.8775499782576244,50.91888111888112,50.20627499999999,0.5062499999999999,0.5833333333333334,0.9037037037037036
36,human,0.8277089546695869,51.61284511784512,54.88390328763247,0.5522916666666666,0.527,12.800000000000002
37,random,0.6558618302484439,50.426392138511936,49.98280435299714,0.4975490196078431,0.5000999000999001,0.8848484848484849
