engine,run,performance_score1,performance_score1_name,behaviour_score1,behaviour_score1_name,behaviour_score2,behaviour_score2_name,behaviour_score3,behaviour_score3_name,behaviour_score4,behaviour_score4_name
random,0,8.0,temporal discounting score,1.0,present bias,0.0,subaddictivity,1.0,delay-speedup asymmetry-1,1.0,delay-length asymmetry-2
llama-2-70,0,13.0,temporal discounting score,0.0,present bias,0.0,subaddictivity,0.0,delay-speedup asymmetry-1,0.0,delay-length asymmetry-2
hf_LongAlpaca-70B,0,15.0,temporal discounting score,0.0,present bias,0.0,subaddictivity,0.0,delay-speedup asymmetry-1,0.0,delay-length asymmetry-2
hf_Llama-2-70b-chat-longlora-32k,0,6.0,temporal discounting score,0.0,present bias,1.0,subaddictivity,1.0,delay-speedup asymmetry-1,1.0,delay-length asymmetry-2
hf_Llama-2-70b-longlora-32k,0,14.0,temporal discounting score,0.0,present bias,0.0,subaddictivity,0.0,delay-speedup asymmetry-1,0.0,delay-length asymmetry-2
llama-2-70-chat,0,5.0,temporal discounting score,1.0,present bias,1.0,subaddictivity,1.0,delay-speedup asymmetry-1,1.0,delay-length asymmetry-2
llama_65,0,15.0,temporal discounting score,0.0,present bias,0.0,subaddictivity,0.0,delay-speedup asymmetry-1,0.0,delay-length asymmetry-2
hf_falcon-40b,0,13.0,temporal discounting score,0.0,present bias,0.0,subaddictivity,0.0,delay-speedup asymmetry-1,0.0,delay-length asymmetry-2
hf_falcon-40b-instruct,0,15.0,temporal discounting score,0.0,present bias,0.0,subaddictivity,0.0,delay-speedup asymmetry-1,0.0,delay-length asymmetry-2
hf_CodeLlama-34B,0,0.0,temporal discounting score,1.0,present bias,1.0,subaddictivity,1.0,delay-speedup asymmetry-1,1.0,delay-length asymmetry-2
hf_vicuna-33b-v1.3,0,0.0,temporal discounting score,1.0,present bias,1.0,subaddictivity,1.0,delay-speedup asymmetry-1,1.0,delay-length asymmetry-2
hf_mpt-30b-instruct,0,14.0,temporal discounting score,0.0,present bias,0.0,subaddictivity,0.0,delay-speedup asymmetry-1,0.0,delay-length asymmetry-2
hf_mpt-30b,0,16.0,temporal discounting score,0.0,present bias,0.0,subaddictivity,0.0,delay-speedup asymmetry-1,0.0,delay-length asymmetry-2
hf_mpt-30b-chat,0,15.0,temporal discounting score,0.0,present bias,0.0,subaddictivity,0.0,delay-speedup asymmetry-1,0.0,delay-length asymmetry-2
hf_Llama-2-13b-longlora-32k-ft,0,15.0,temporal discounting score,0.0,present bias,0.0,subaddictivity,0.0,delay-speedup asymmetry-1,0.0,delay-length asymmetry-2
hf_Llama-2-13b-longlora-32k,0,11.0,temporal discounting score,1.0,present bias,0.0,subaddictivity,1.0,delay-speedup asymmetry-1,0.0,delay-length asymmetry-2
hf_koala-13B-HF,0,15.0,temporal discounting score,0.0,present bias,0.0,subaddictivity,0.0,delay-speedup asymmetry-1,0.0,delay-length asymmetry-2
hf_vicuna-13b-v1.3,0,15.0,temporal discounting score,0.0,present bias,0.0,subaddictivity,0.0,delay-speedup asymmetry-1,0.0,delay-length asymmetry-2
hf_LongAlpaca-13B,0,0.0,temporal discounting score,1.0,present bias,1.0,subaddictivity,1.0,delay-speedup asymmetry-1,1.0,delay-length asymmetry-2
hf_vicuna-13b-v1.5,0,6.0,temporal discounting score,1.0,present bias,1.0,subaddictivity,0.0,delay-speedup asymmetry-1,1.0,delay-length asymmetry-2
llama-2-13-chat,0,2.0,temporal discounting score,1.0,present bias,1.0,subaddictivity,1.0,delay-speedup asymmetry-1,1.0,delay-length asymmetry-2
hf_CodeLlama-13B,0,0.0,temporal discounting score,1.0,present bias,1.0,subaddictivity,1.0,delay-speedup asymmetry-1,1.0,delay-length asymmetry-2
llama-2-13,0,10.0,temporal discounting score,1.0,present bias,1.0,subaddictivity,1.0,delay-speedup asymmetry-1,0.0,delay-length asymmetry-2
hf_Llama-2-13b-longlora-64k,0,5.0,temporal discounting score,0.0,present bias,1.0,subaddictivity,1.0,delay-speedup asymmetry-1,0.0,delay-length asymmetry-2
hf_LongAlpaca-7B,0,5.0,temporal discounting score,1.0,present bias,1.0,subaddictivity,1.0,delay-speedup asymmetry-1,1.0,delay-length asymmetry-2
hf_CodeLlama-7B,0,2.0,temporal discounting score,0.0,present bias,1.0,subaddictivity,0.0,delay-speedup asymmetry-1,1.0,delay-length asymmetry-2
hf_Llama-2-7b-longlora-100k-ft,0,8.0,temporal discounting score,,present bias,,subaddictivity,,delay-speedup asymmetry-1,,delay-length asymmetry-2
hf_Llama-2-7b-longlora-32k,0,4.0,temporal discounting score,1.0,present bias,1.0,subaddictivity,1.0,delay-speedup asymmetry-1,1.0,delay-length asymmetry-2
hf_Llama-2-7b-longlora-32k-ft,0,8.0,temporal discounting score,,present bias,,subaddictivity,,delay-speedup asymmetry-1,,delay-length asymmetry-2
hf_Llama-2-7b-longlora-16k-ft,0,8.0,temporal discounting score,,present bias,,subaddictivity,,delay-speedup asymmetry-1,,delay-length asymmetry-2
hf_Llama-2-7b-longlora-8k-ft,0,8.0,temporal discounting score,0.0,present bias,1.0,subaddictivity,1.0,delay-speedup asymmetry-1,1.0,delay-length asymmetry-2
