run,informative_lh,prior,lh,left_pred,red_observation
0,True,0.5,0.1,0.1,True
1,True,0.4,0.1,0.3,True
2,True,0.5,0.2,0.2,True
3,True,0.4,0.19999999999999996,0.25,False
4,True,0.4,0.9,0.4,False
5,True,0.5,0.19999999999999996,0.8,False
6,True,0.5,0.7,0.7,True
7,True,0.6,0.19999999999999996,0.6,False
8,True,0.4,0.7,0.47,True
9,True,0.4,0.8,0.25,False
10,True,0.4,0.7,0.6,True
11,True,0.6,0.8,0.6,True
12,True,0.4,0.09999999999999998,0.4,False
13,True,0.5,0.30000000000000004,0.6,False
14,True,0.5,0.30000000000000004,0.6,False
15,True,0.4,0.2,0.25,True
16,True,0.5,0.09999999999999998,0.5,False
17,True,0.6,0.8,0.6,True
18,True,0.6,0.7,0.6,False
19,True,0.5,0.19999999999999996,0.8,False
20,False,0.9,0.5,0.9,False
21,False,0.9,0.5,0.9,True
22,False,0.3,0.4,0.33,True
23,False,0.3,0.5,0.3,False
24,False,0.3,0.4,0.7,False
25,False,0.1,0.6,0.2,True
26,False,0.9,0.5,0.9,True
27,False,0.1,0.6,0.2,False
28,False,0.9,0.5,0.9,False
29,False,0.1,0.5,0.1,False
30,False,0.9,0.5,0.9,True
31,False,0.9,0.6,0.6,False
32,False,0.9,0.5,0.9,False
33,False,0.7,0.4,0.58,True
34,False,0.1,0.4,0.2,False
35,False,0.3,0.6,0.7,False
36,False,0.7,0.5,0.7,True
37,False,0.3,0.4,0.25,False
38,False,0.3,0.5,0.3,True
39,False,0.2,0.4,0.2,False
40,True,0.6,0.09999999999999998,0.6,False
41,True,0.5,0.2,0.6,True
42,True,0.4,0.8,0.3,False
43,True,0.5,0.7,0.7,False
44,True,0.5,0.8,0.6,True
45,True,0.6,0.7,0.7,True
46,True,0.4,0.2,0.6,True
47,True,0.6,0.8,0.6,False
48,True,0.5,0.8,0.6,False
49,True,0.5,0.7,0.7,False
50,False,0.2,0.6,0.2,True
51,False,0.8,0.6,0.6,True
52,False,0.7,0.4,0.5,True
53,False,0.2,0.5,0.2,False
54,False,0.7,0.4,0.6,False
55,False,0.7,0.4,0.6,False
56,False,0.1,0.5,0.1,True
57,False,0.8,0.5,0.8,True
58,False,0.1,0.6,0.2,True
59,False,0.3,0.5,0.3,True
60,False,0.2,0.5,0.2,False
61,False,0.7,0.6,0.7,True
62,False,0.3,0.6,0.5,True
63,False,0.9,0.6,0.7,True
64,False,0.2,0.4,0.6,True
65,False,0.1,0.5,0.1,False
66,False,0.3,0.4,0.7,False
67,False,0.8,0.5,0.8,True
