informative_lh,prior,lh,left_pred,red_observation,run
True,0.5,0.9,0.67,False,0
False,0.7,0.4,0.67,True,0
True,0.6,0.3,0.67,False,1
False,0.2,0.5,0.27,True,1
True,0.5,0.8,0.71,False,2
False,0.7,0.6,0.67,True,2
True,0.6,0.9,0.75,False,3
False,0.1,0.4,0.67,True,3
True,0.5,0.1,0.67,True,4
False,0.2,0.5,0.27,True,4
True,0.4,0.8,0.67,True,5
False,0.7,0.4,0.67,True,5
True,0.5,0.9,0.67,False,6
False,0.9,0.4,0.67,False,6
True,0.5,0.3,0.67,False,7
False,0.1,0.6,0.67,True,7
True,0.5,0.7,0.71,True,8
False,0.2,0.4,0.67,False,8
True,0.4,0.2,0.67,True,9
False,0.7,0.4,0.67,True,9
True,0.6,0.2,0.67,False,10
False,0.1,0.5,0.58,True,10
True,0.5,0.7,0.71,False,11
False,0.9,0.5,0.78,True,11
True,0.5,0.2,0.67,False,12
False,0.8,0.5,0.71,False,12
True,0.5,0.7,0.71,True,13
False,0.9,0.5,0.78,True,13
True,0.6,0.7,0.67,False,14
False,0.7,0.4,0.67,False,14
True,0.5,0.3,0.67,False,15
False,0.1,0.4,0.67,False,15
True,0.6,0.3,0.67,True,16
False,0.3,0.5,0.42,True,16
True,0.6,0.8,0.71,True,17
False,0.1,0.5,0.57,False,17
True,0.5,0.8,0.67,True,18
False,0.2,0.4,0.67,False,18
True,0.5,0.3,0.67,False,19
False,0.7,0.4,0.67,True,19
True,0.5,0.8,0.71,False,20
False,0.2,0.6,0.67,True,20
True,0.5,0.9,0.78,True,21
False,0.7,0.4,0.67,False,21
True,0.6,0.3,0.67,True,22
False,0.1,0.5,0.57,False,22
True,0.4,0.2,0.67,True,23
False,0.3,0.4,0.67,True,23
True,0.5,0.1,0.67,True,24
False,0.1,0.5,0.57,True,24
True,0.5,0.7,0.71,False,25
False,0.7,0.6,0.67,False,25
True,0.5,0.3,0.67,False,26
False,0.8,0.4,0.67,False,26
True,0.5,0.7,0.71,False,27
False,0.2,0.6,0.67,True,27
True,0.6,0.1,0.67,True,28
False,0.2,0.4,0.67,True,28
True,0.4,0.9,0.67,True,29
False,0.9,0.5,0.67,False,29
True,0.5,0.1,0.67,False,30
False,0.2,0.5,0.27,False,30
True,0.4,0.3,0.67,True,31
False,0.9,0.5,0.78,False,31
True,0.5,0.3,0.67,True,32
False,0.2,0.6,0.67,True,32
True,0.5,0.9,0.78,True,33
False,0.8,0.4,0.67,False,33
True,0.5,0.1,0.67,False,34
False,0.1,0.6,0.67,False,34
True,0.6,0.1,0.67,False,35
False,0.8,0.6,0.71,True,35
True,0.5,0.7,0.71,True,36
False,0.8,0.5,0.71,False,36
True,0.4,0.9,0.67,True,37
False,0.3,0.4,0.47,False,37
True,0.4,0.7,0.67,False,38
False,0.8,0.5,0.71,False,38
True,0.6,0.2,0.67,False,39
False,0.7,0.6,0.67,False,39
True,0.4,0.7,0.67,True,40
False,0.9,0.5,0.67,False,40
True,0.4,0.1,0.67,False,41
False,0.3,0.6,0.47,False,41
True,0.5,0.3,0.67,True,42
False,0.3,0.5,0.42,True,42
True,0.4,0.1,0.67,True,43
False,0.1,0.6,0.67,True,43
True,0.6,0.8,0.67,True,44
False,0.3,0.5,0.42,False,44
True,0.5,0.9,0.78,True,45
False,0.1,0.5,0.57,True,45
True,0.4,0.7,0.67,False,46
False,0.2,0.5,0.27,False,46
True,0.5,0.3,0.67,False,47
False,0.1,0.5,0.55,False,47
True,0.6,0.7,0.67,True,48
False,0.2,0.4,0.67,False,48
True,0.5,0.2,0.71,False,49
False,0.9,0.4,0.67,False,49
True,0.5,0.9,0.67,False,50
False,0.2,0.5,0.27,False,50
True,0.4,0.9,0.67,False,51
False,0.8,0.4,0.67,True,51
True,0.6,0.9,0.75,False,52
False,0.8,0.5,0.71,False,52
True,0.4,0.8,0.67,False,53
False,0.3,0.6,0.47,True,53
True,0.4,0.2,0.67,False,54
False,0.8,0.4,0.67,False,54
True,0.4,0.7,0.67,True,55
False,0.8,0.4,0.67,True,55
