run,informative_lh,prior,lh,left_pred,red_observation
0,True,0.4,0.7,0.12,False
1,True,0.5,0.7,0.6,True
2,True,0.4,0.30000000000000004,0.12,False
3,True,0.5,0.9,0.01,False
4,True,0.4,0.7,0.12,False
5,True,0.5,0.3,0.33,True
6,True,0.5,0.8,0.16,False
7,True,0.5,0.3,0.33,True
8,True,0.5,0.8,0.8,True
9,True,0.6,0.9,1e-05,False
10,True,0.5,0.1,0.1,True
11,True,0.5,0.2,0.2,True
12,True,0.6,0.8,0.67,True
13,True,0.4,0.8,0.25,False
14,True,0.5,0.7,0.2,False
15,True,0.5,0.1,1e-05,True
16,True,0.4,0.7,0.67,True
17,True,0.5,0.8,0.16,False
18,True,0.5,0.8,0.16,False
19,True,0.6,0.3,0.43,True
20,False,0.3,0.4,0.12,False
21,False,0.7,0.5,0.5,False
22,False,0.3,0.6,0.2,False
23,False,0.3,0.5,0.5,True
24,False,0.19999999999999996,0.5,0.25,False
25,False,0.2,0.4,0.33,True
26,False,0.19999999999999996,0.5,0.25,True
27,False,0.09999999999999998,0.5,1e-05,False
28,False,0.09999999999999998,0.6,0.22,False
29,False,0.19999999999999996,0.5,0.25,False
30,False,0.7,0.5,0.25,False
31,False,0.1,0.5,0.5,False
32,False,0.1,0.5,1e-05,True
33,False,0.1,0.6,0.2,False
34,False,0.8,0.5,0.67,True
35,False,0.3,0.6,0.25,True
36,False,0.3,0.6,0.25,True
37,False,0.1,0.4,0.2,True
38,False,0.19999999999999996,0.5,0.25,False
39,False,0.1,0.5,1e-05,True
40,True,0.6,0.8,0.7,True
41,True,0.4,0.8,0.6,True
42,True,0.4,0.8,0.2,False
43,True,0.6,0.8,0.7,True
44,True,0.5,0.8,1e-05,False
45,True,0.4,0.7,0.5,True
46,True,0.6,0.30000000000000004,0.3,False
47,True,0.5,0.30000000000000004,0.2,False
48,True,0.5,0.09999999999999998,1e-05,True
49,True,0.6,0.7,1e-05,False
50,False,0.2,0.5,0.2,True
51,False,0.2,0.5,0.2,True
52,False,0.1,0.5,0.5,True
53,False,0.09999999999999998,0.6,0.2,False
54,False,0.2,0.4,0.2,False
55,False,0.8,0.6,0.7,True
56,False,0.7,0.5,0.5,False
57,False,0.8,0.4,0.4,False
58,False,0.7,0.4,0.3,False
59,False,0.1,0.6,1e-05,False
60,False,0.3,0.6,0.3,False
61,False,0.1,0.5,1e-05,False
62,False,0.9,0.5,0.5,False
63,False,0.09999999999999998,0.6,0.2,False
64,False,0.3,0.6,0.4,True
65,False,0.2,0.5,0.5,True
66,False,0.09999999999999998,0.6,1e-05,False
67,False,0.3,0.5,0.2,False
68,False,0.2,0.5,0.2,True
69,False,0.09999999999999998,0.4,0.2,True
70,False,0.2,0.4,0.3,True
71,False,0.1,0.5,0.5,True
72,False,0.19999999999999996,0.5,0.2,True
73,False,0.3,0.5,0.2,True
74,False,0.2,0.5,0.2,False
75,False,0.3,0.4,0.4,True
76,False,0.1,0.4,0.1,True
77,False,0.9,0.5,0.9,True
78,False,0.7,0.5,0.5,False
79,False,0.19999999999999996,0.5,0.2,True
80,False,0.2,0.5,0.2,False
81,False,0.2,0.6,0.6,True
82,False,0.3,0.4,0.2,True
83,False,0.2,0.4,0.3,True
84,False,0.2,0.5,0.5,True
85,False,0.2,0.5,0.5,True
86,False,0.19999999999999996,0.4,0.2,False
87,False,0.19999999999999996,0.4,0.3,True
88,False,0.3,0.4,0.3,True
89,False,0.2,0.6,0.4,True
90,False,0.1,0.5,0.5,True
91,False,0.3,0.6,0.2,True
92,False,0.3,0.5,0.2,True
93,False,0.8,0.5,0.5,False
94,False,0.8,0.4,0.6,True
95,False,0.7,0.5,0.6,True
96,False,0.7,0.6,0.6,True
97,False,0.1,0.5,1e-05,False
98,False,0.1,0.5,0.5,True
99,False,0.8,0.5,0.5,True
