run,informative_lh,prior,lh,left_pred,red_observation
0,True,0.4,0.8,0.33,True
1,True,0.5,0.09999999999999998,0.33,True
2,True,0.4,0.7,0.7,True
3,True,0.5,0.30000000000000004,0.35,False
4,True,0.4,0.9,0.33,False
5,True,0.5,0.9,0.09,False
6,True,0.6,0.1,0.4,True
7,True,0.5,0.9,0.1,False
8,True,0.6,0.7,0.37,False
9,True,0.6,0.8,0.33,False
10,True,0.4,0.19999999999999996,0.33,False
11,True,0.5,0.1,0.33,True
12,True,0.4,0.3,0.37,True
13,True,0.5,0.8,0.33,True
14,True,0.4,0.30000000000000004,0.33,False
15,True,0.6,0.30000000000000004,0.37,False
16,True,0.5,0.2,0.33,True
17,True,0.5,0.8,0.8,True
18,True,0.6,0.1,0.4,True
19,True,0.5,0.8,0.67,False
20,False,0.7,0.5,0.3,False
21,False,0.2,0.4,0.67,False
22,False,0.7,0.4,0.6,True
23,False,0.7,0.6,0.6,True
24,False,0.09999999999999998,0.4,0.33,False
25,False,0.2,0.6,0.33,True
26,False,0.8,0.6,0.67,True
27,False,0.3,0.6,0.45,True
28,False,0.3,0.4,0.36,False
29,False,0.19999999999999996,0.6,0.33,False
30,False,0.1,0.6,0.36,True
31,False,0.7,0.5,0.7,False
32,False,0.3,0.4,0.35,True
33,False,0.9,0.5,0.9,False
34,False,0.9,0.5,0.9,True
35,False,0.2,0.6,0.33,True
36,False,0.09999999999999998,0.6,0.33,False
37,False,0.19999999999999996,0.4,0.33,True
38,False,0.19999999999999996,0.6,0.33,False
39,False,0.7,0.6,0.6,True
40,True,0.5,0.2,0.2,True
41,True,0.5,0.7,0.7,True
42,True,0.4,0.8,0.3,False
43,True,0.5,0.7,0.3,False
44,True,0.6,0.8,0.4,True
45,True,0.6,0.7,0.3,False
46,True,0.5,0.9,0.3,False
47,True,0.4,0.19999999999999996,0.3,False
48,True,0.5,0.8,0.3,False
49,True,0.5,0.3,0.3,True
50,False,0.1,0.5,0.1,True
51,False,0.2,0.5,0.2,True
52,False,0.2,0.5,0.2,True
53,False,0.2,0.5,0.2,False
54,False,0.9,0.6,0.6,True
55,False,0.7,0.6,0.3,False
56,False,0.3,0.6,0.3,True
57,False,0.2,0.5,0.2,True
58,False,0.2,0.5,0.6,True
59,False,0.3,0.6,0.4,False
60,False,0.8,0.5,0.8,False
61,False,0.7,0.4,0.6,True
62,False,0.3,0.5,0.4,True
63,False,0.09999999999999998,0.5,0.1,True
64,False,0.1,0.5,0.1,True
65,False,0.3,0.6,0.4,False
66,False,0.2,0.6,0.3,True
67,False,0.7,0.5,0.7,False
68,False,0.2,0.5,0.2,False
69,False,0.9,0.6,0.9,True
70,False,0.8,0.6,0.6,True
71,False,0.1,0.6,0.4,True
72,False,0.1,0.4,0.2,False
73,False,0.3,0.6,0.3,True
74,False,0.1,0.4,0.3,True
75,False,0.3,0.5,0.3,False
76,False,0.09999999999999998,0.5,0.1,False
77,False,0.7,0.4,0.3,True
78,False,0.1,0.6,0.4,True
79,False,0.3,0.5,0.3,False
80,False,0.1,0.5,0.1,True
81,False,0.2,0.4,0.3,False
82,False,0.09999999999999998,0.6,0.3,False
83,False,0.3,0.5,0.3,True
84,False,0.7,0.6,0.6,True
85,False,0.2,0.5,0.2,False
86,False,0.9,0.5,0.9,False
87,False,0.8,0.4,0.6,False
88,False,0.1,0.5,0.6,False
89,False,0.2,0.6,0.6,False
90,False,0.3,0.5,0.3,True
91,False,0.3,0.6,0.3,True
92,False,0.1,0.4,0.2,False
93,False,0.2,0.5,0.2,True
94,False,0.3,0.5,0.6,False
95,False,0.09999999999999998,0.4,0.3,False
96,False,0.2,0.4,0.3,True
97,False,0.1,0.5,0.1,True
98,False,0.7,0.5,0.7,True
99,False,0.2,0.5,0.6,False
100,True,0.5,0.3,0.3,True
100,False,0.8,0.6,0.43,False
101,True,0.5,0.2,0.2,True
101,False,0.3,0.4,0.35,True
102,True,0.5,0.3,0.3,False
102,False,0.3,0.5,0.3,False
103,True,0.6,0.7,0.37,False
103,False,0.1,0.5,0.1,False
104,True,0.6,0.7,0.6,True
104,False,0.2,0.6,0.33,True
105,True,0.5,0.1,0.33,False
105,False,0.9,0.5,0.9,True
106,True,0.6,0.3,0.37,False
106,False,0.1,0.5,0.1,False
107,True,0.6,0.3,0.37,False
107,False,0.1,0.6,0.4,True
108,True,0.6,0.8,0.33,False
108,False,0.1,0.5,0.1,True
109,True,0.5,0.1,0.33,False
109,False,0.2,0.5,0.2,False
