run,informative_lh,prior,lh,left_pred,red_observation
0,True,0.4,0.2,0.33,True
1,True,0.5,0.9,0.9,True
2,True,0.5,0.9,0.45,False
3,True,0.5,0.8,0.8,True
4,True,0.5,0.30000000000000004,0.5,False
5,True,0.4,0.09999999999999998,0.4,False
6,True,0.4,0.30000000000000004,0.6,False
7,True,0.5,0.3,0.5,True
8,True,0.6,0.19999999999999996,0.6,False
9,True,0.5,0.7,0.5,True
10,True,0.6,0.3,0.6,True
11,True,0.6,0.09999999999999998,0.6,False
12,True,0.4,0.7,0.7,False
13,True,0.6,0.9,0.9,True
14,True,0.5,0.7,0.7,True
15,True,0.4,0.7,0.6,False
16,True,0.4,0.30000000000000004,0.6,False
17,True,0.5,0.30000000000000004,0.5,False
18,True,0.4,0.2,0.5,True
19,True,0.6,0.9,0.33,False
20,False,0.8,0.4,0.8,False
21,False,0.2,0.6,0.5,False
22,False,0.7,0.5,0.71,False
23,False,0.1,0.6,0.4,False
24,False,0.7,0.6,0.6,False
25,False,0.2,0.5,0.5,False
26,False,0.3,0.5,0.5,True
27,False,0.2,0.4,0.5,True
28,False,0.8,0.4,0.67,True
29,False,0.7,0.6,0.6,True
30,False,0.9,0.4,0.6,False
31,False,0.8,0.5,0.8,True
32,False,0.3,0.5,0.5,False
33,False,0.9,0.5,0.9,True
34,False,0.2,0.6,0.33,False
35,False,0.8,0.4,0.67,False
36,False,0.2,0.5,0.5,False
37,False,0.9,0.6,0.6,True
38,False,0.3,0.6,0.6,False
39,False,0.8,0.4,0.67,True
40,True,0.5,0.19999999999999996,0.5,False
41,True,0.5,0.9,0.9,True
42,True,0.6,0.09999999999999998,0.6,False
43,True,0.5,0.9,0.4,True
44,True,0.5,0.8,0.8,True
45,True,0.4,0.7,0.5,False
46,True,0.6,0.2,0.7,True
47,True,0.6,0.30000000000000004,0.6,False
48,True,0.5,0.7,0.5,True
49,True,0.5,0.09999999999999998,0.4,False
50,False,0.3,0.5,0.4,False
51,False,0.8,0.5,0.8,False
52,False,0.3,0.5,0.4,False
53,False,0.9,0.5,0.8,False
54,False,0.9,0.6,0.6,False
55,False,0.1,0.4,0.3,True
56,False,0.8,0.6,0.7,False
57,False,0.9,0.5,0.8,True
58,False,0.1,0.6,0.3,False
59,False,0.1,0.4,0.3,False
60,False,0.3,0.6,0.6,False
61,False,0.8,0.6,0.7,True
62,False,0.9,0.5,0.9,True
63,False,0.3,0.5,0.4,True
64,False,0.7,0.5,0.7,True
65,False,0.9,0.6,0.6,True
66,False,0.1,0.6,0.3,True
67,False,0.9,0.6,0.7,False
68,False,0.2,0.6,0.3,False
69,False,0.1,0.6,0.3,False
70,False,0.7,0.6,0.6,False
71,False,0.7,0.6,0.6,False
72,False,0.7,0.4,0.7,False
73,False,0.1,0.4,0.3,True
74,False,0.3,0.6,0.6,True
75,False,0.1,0.5,0.5,False
76,False,0.1,0.5,0.5,True
77,False,0.7,0.5,0.7,False
78,False,0.9,0.5,0.8,True
79,False,0.3,0.5,0.3,True
80,False,0.7,0.5,0.7,True
81,False,0.1,0.5,0.5,False
82,False,0.7,0.5,0.7,True
83,False,0.1,0.5,0.5,False
84,False,0.1,0.5,0.5,False
85,False,0.8,0.5,0.8,False
86,False,0.2,0.5,0.5,True
87,False,0.9,0.5,0.8,True
88,False,0.9,0.4,0.8,False
89,False,0.1,0.5,0.5,True
90,False,0.9,0.5,0.8,True
91,False,0.9,0.4,0.8,True
92,False,0.1,0.5,0.5,True
93,False,0.2,0.5,0.2,True
94,False,0.1,0.4,0.3,True
95,False,0.7,0.5,0.7,False
96,False,0.7,0.5,0.7,False
97,False,0.2,0.5,0.5,True
98,False,0.8,0.5,0.8,False
99,False,0.9,0.6,0.7,False
