engine,run,performance_score1,performance_score1_name,behaviour_score1,behaviour_score1_name,behaviour_score2,behaviour_score2_name,behaviour_score1_CI,behaviour_score2_CI,performance_score1_CI
llama_13,0,50.44772442588727,rewards mean,-0.0461458052014725,Directed Exploration,-0.0011024712363867,Random Exploration,0.1396448169415063,0.0055990990764098,0.2226225149898065
llama-2-13,0,51.08535784635588,rewards mean,-0.2120188938558876,Directed Exploration,0.0037015305750331,Random Exploration,0.4553099007382187,0.0108306091955719,0.3947516649823685
hf_Llama-2-13b-longlora-32k,0,50.79228304405874,rewards mean,-0.0492551207577074,Directed Exploration,-0.0011150394406496,Random Exploration,0.0601672395884163,0.003382028467845,0.1263534102128541
hf_Llama-2-70b-chat-longlora-32k,0,51.33946268656717,rewards mean,-0.5134312244843994,Directed Exploration,0.0173063333686301,Random Exploration,0.3646980142265318,0.0053038378729635,0.1251753824163343
llama-2-70-chat,0,52.15603799185889,rewards mean,0.0,Directed Exploration,0.0522474396002883,Random Exploration,,0.023992219450852,0.399370664188497
hf_koala-7B-HF,0,50.32312280469216,rewards mean,0.7244356688854245,Directed Exploration,0.0033316989547013,Random Exploration,0.1929932123164785,0.0031959849912898,0.1265844553005962
hf_CodeLlama-34B,0,49.724996649242726,rewards mean,0.0,Directed Exploration,0.0092624644085566,Random Exploration,,0.0032489288284385,0.1271123485239389
llama_30,0,50.970274771024144,rewards mean,-0.5137466722482884,Directed Exploration,-0.0164811079718429,Random Exploration,0.1989016409806547,0.0084267263775833,0.2226690065273574
hf_falcon-40b,0,50.85980970249263,rewards mean,-0.5113388954881422,Directed Exploration,-0.0029178636993025,Random Exploration,0.2259903709739986,0.0061234496420013,0.12505474895781
hf_CodeLlama-13B,0,50.831887925283525,rewards mean,-0.2113017657033717,Directed Exploration,-0.0114834134160752,Random Exploration,0.0640397429851953,0.0045786622849318,0.1270808601836134
llama_65,0,51.74220939818631,rewards mean,-0.3970020028227006,Directed Exploration,-0.0051034424750566,Random Exploration,0.1485926221502095,0.0083830072305942,0.2218933647198076
hf_LongAlpaca-13B,0,49.92495332088557,rewards mean,0.0,Directed Exploration,0.0024871669842348,Random Exploration,,0.0032046028978829,0.127780751413815
claude-1,0,52.36832107023412,rewards mean,-0.2565150984825045,Directed Exploration,0.0022870527949089,Random Exploration,0.1421590648313568,0.0102811824869898,0.1262500015910164
hf_LongAlpaca-70B,0,50.05660907995179,rewards mean,0.1316289031715609,Directed Exploration,0.001828743835086,Random Exploration,0.0827120592123937,0.003279284606984,0.1273212142862872
random,0,50.426392138511936,rewards mean,-0.044351819854102,Directed Exploration,0.000996181800074,Random Exploration,0.055472456211137,0.0032162567940404,0.1269398655096848
gpt-4,0,53.465695364238414,rewards mean,-0.3131761225127219,Directed Exploration,0.0028762484196737,Random Exploration,0.5058936881884551,0.0279246842150466,0.386801209299847
hf_Llama-2-7b-longlora-16k-ft,0,50.0631256656017,rewards mean,-0.0063775577193714,Directed Exploration,-0.0026424704120757,Random Exploration,0.0549228314120336,0.0032245001817074,0.1273840273880395
hf_mpt-30b-instruct,0,50.47007774602964,rewards mean,-1.2442859941030615,Directed Exploration,-0.0096651663336357,Random Exploration,0.3170982347837261,0.0042773194038,0.1265332285304391
llama-2-7,0,49.92265780730897,rewards mean,0.2716340157151856,Directed Exploration,0.0113378053778811,Random Exploration,0.5201975433238316,0.0157047737031827,0.3963047259992001
llama-2-7-chat,0,50.59112351338781,rewards mean,0.2308370817414649,Directed Exploration,-0.0013972760825144,Random Exploration,0.2410832660587892,0.0037234623692107,0.1262703075378445
hf_mpt-30b-chat,0,51.034491480298186,rewards mean,-0.6034321586643077,Directed Exploration,-0.0087988791421989,Random Exploration,0.292556447434209,0.0041633297303937,0.1266179548208147
hf_Llama-2-70b-longlora-32k,0,52.28853048983672,rewards mean,-0.1726356479272623,Directed Exploration,-0.0066160574411981,Random Exploration,0.1174739193130965,0.0058549808455873,0.1273192222763427
hf_Llama-2-13b-longlora-64k,0,50.72266898209992,rewards mean,-0.0507808259464464,Directed Exploration,0.0010049798632619,Random Exploration,0.0608328759385265,0.0032796025259145,0.1263105372744505
hf_CodeLlama-7B,0,50.31428762095429,rewards mean,0.0,Directed Exploration,-0.0029593519471833,Random Exploration,,0.0034545184419293,0.1287784634432547
text-davinci-002,0,52.19346197502838,rewards mean,-0.1560724463268706,Directed Exploration,0.0123392584807305,Random Exploration,0.2766745602705686,0.0174589686751946,0.2285153707442645
text-bison@001,0,53.68698539176627,rewards mean,-0.4583456224411767,Directed Exploration,0.0069139494144572,Random Exploration,0.3883175964159887,0.0326568534510071,0.4040760061561625
llama-2-13-chat,0,52.57324446239817,rewards mean,-0.1919478247393746,Directed Exploration,0.0026433044754903,Random Exploration,0.0616595930255806,0.0054205992427289,0.1266454150469763
hf_Llama-2-7b-longlora-32k-ft,0,49.736651583710405,rewards mean,0.0701169475529578,Directed Exploration,-0.0013745492753633,Random Exploration,0.0554023664332091,0.0031756576506463,0.127802773829907
hf_Llama-2-13b-longlora-32k-ft,0,50.89005535916761,rewards mean,0.5743526208453489,Directed Exploration,0.0007025151043496,Random Exploration,1.1210048141396347,0.0051540164547382,0.1256011117777206
claude-2,0,52.476925119490176,rewards mean,-0.1263133696272169,Directed Exploration,0.0041272565553468,Random Exploration,0.1130916410473637,0.0098401811913512,0.1255404689275924
hf_falcon-40b-instruct,0,51.073145370925815,rewards mean,-0.3298047376403796,Directed Exploration,-0.0091368398046334,Random Exploration,0.3332005512042982,0.0046250124261474,0.12458336779571
hf_Llama-2-7b-longlora-8k-ft,0,50.14890736023596,rewards mean,0.0020650113954362,Directed Exploration,0.0002362202133648,Random Exploration,0.058892170253147,0.0032044588126591,0.1285664226067996
vicuna_7,0,51.18498023715415,rewards mean,0.2595126740747496,Directed Exploration,-0.0080783324189748,Random Exploration,0.5167126354002946,0.0216401777217377,0.3898900528901779
llama-2-70,0,52.49692431131319,rewards mean,-0.0893344096438668,Directed Exploration,-0.0069183323194855,Random Exploration,0.1082935257263315,0.0056238545823088,0.1251875495065497
hf_Llama-2-7b-longlora-32k,0,51.032705077469984,rewards mean,-0.0550055048267726,Directed Exploration,0.0001455704861301,Random Exploration,0.0607770800360644,0.0032915895246319,0.1270146199326161
hf_koala-13B-HF,0,50.45516966598048,rewards mean,-0.0375412690448607,Directed Exploration,0.0077784575890446,Random Exploration,0.0779539759323287,0.0034382460357225,0.1267571334026611
hf_Llama-2-7b-longlora-100k-ft,0,49.92250947032631,rewards mean,-0.0081221629250313,Directed Exploration,-0.0009757620487129,Random Exploration,0.0554398030178317,0.0031678524520677,0.1274881486669987
vicuna_13,0,50.50754716981132,rewards mean,0.0178062245624143,Directed Exploration,-0.0053692043215039,Random Exploration,0.2237434814436714,0.0107934635188902,0.3950525520274351
hf_LongAlpaca-7B,0,49.78951500232852,rewards mean,-0.0345810085130423,Directed Exploration,0.0003681472365003,Random Exploration,0.0629252702694114,0.0031859144149645,0.1266276768920806
hf_mpt-30b,0,50.64422177688711,rewards mean,-0.1684040574022905,Directed Exploration,-0.0017206197782275,Random Exploration,0.0899812126389017,0.0034936794390676,0.1271483899176959
llama_7,0,50.6858747659663,rewards mean,-0.0629665683396959,Directed Exploration,-0.0062212566725782,Random Exploration,0.3340887482162248,0.0122654532158094,0.2201946364472119
human,0,51.61284511784512,rewards mean,0.3258367271665508,Directed Exploration,0.0174408661192101,Random Exploration,0.0723820242079868,0.0059233493575271,0.1423681592420704
text-davinci-003,0,52.78872282608695,rewards mean,-0.0469231803832318,Directed Exploration,-0.0059485446366511,Random Exploration,0.4070389359184234,0.0211816957787145,0.4050814636111579
hf_vicuna-7b-v1.5,0,51.41357908847185,rewards mean,-0.0704097202432528,Directed Exploration,-0.0006301456395089,Random Exploration,0.5534425852486135,0.0066106536684334,0.1266216618756725
hf_vicuna-13b-v1.5,0,51.98910937395603,rewards mean,-0.4204905730678877,Directed Exploration,0.001019690847359,Random Exploration,0.1394936069617459,0.0079832567279572,0.1261104876796439
hf_Llama-2-70b-longlora-32k_sb,0,52.59327731092437,rewards mean,-0.562974068886567,Directed Exploration,-0.0002845491384999,Random Exploration,0.84879568501412,0.0443290654730232,1.208873478325335
gpt-4_sb,0,52.78454425363276,rewards mean,-0.3388357615761799,Directed Exploration,0.010394317763063,Random Exploration,0.2881201961134191,0.0431248406599195,0.393293168513784
