engine,run,performance_score1,performance_score1_name,behaviour_score1,behaviour_score1_name,behaviour_score2,behaviour_score2_name,performance_score2,performance_score2_name,behaviour_score3,behaviour_score3_name
llama-2-70-chat,0,-0.204875,rewards mean,0.68604625,meta-cognitive sensitivity,0.757125,confidence mean,0.5125,mean accuracy,0.6613046875,adjusted qsr
llama-2-70-chat,1,-4.309625,rewards mean,0.6189087499999999,meta-cognitive sensitivity,0.7466250000000001,confidence mean,0.3875,mean accuracy,0.7052879648760331,adjusted qsr
llama-2-70-chat,2,-1.35575,rewards mean,0.69440875,meta-cognitive sensitivity,0.717125,confidence mean,0.4875,mean accuracy,0.6623194444444445,adjusted qsr
llama-2-70-chat,3,-0.572875,rewards mean,0.6990175,meta-cognitive sensitivity,0.7452500000000002,confidence mean,0.5375,mean accuracy,0.709171875,adjusted qsr
llama-2-70-chat,4,1.343625,rewards mean,0.7228037500000001,meta-cognitive sensitivity,0.7261249999999999,confidence mean,0.5625,mean accuracy,0.7242653061224489,adjusted qsr
llama-2-70-chat,5,1.7417499999999997,rewards mean,0.7284424999999999,meta-cognitive sensitivity,0.8047500000000003,confidence mean,0.625,mean accuracy,0.7469653925619835,adjusted qsr
llama-2-70-chat,6,-1.682875,rewards mean,0.70336,meta-cognitive sensitivity,0.6799999999999999,confidence mean,0.4625,mean accuracy,0.6931666666666667,adjusted qsr
llama-2-70-chat,7,1.4903750000000002,rewards mean,0.6988925,meta-cognitive sensitivity,0.7182499999999999,confidence mean,0.475,mean accuracy,0.7520233196159122,adjusted qsr
llama-2-70-chat,8,-0.5271249999999998,rewards mean,0.67383375,meta-cognitive sensitivity,0.7706250000000001,confidence mean,0.5,mean accuracy,0.6560918367346937,adjusted qsr
llama-2-70-chat,9,3.239125,rewards mean,0.7162725,meta-cognitive sensitivity,0.7492500000000001,confidence mean,0.575,mean accuracy,0.6867142857142856,adjusted qsr
claude-3-opus-20240229,0,8.866499999999998,rewards mean,0.8834375,meta-cognitive sensitivity,0.8400000000000001,confidence mean,0.825,mean accuracy,0.8697530864197531,adjusted qsr
claude-3-opus-20240229,1,8.011000000000001,rewards mean,0.8776875000000001,meta-cognitive sensitivity,0.835,confidence mean,0.85,mean accuracy,0.8324074074074073,adjusted qsr
claude-3-opus-20240229,2,7.144874999999999,rewards mean,0.87309375,meta-cognitive sensitivity,0.8693750000000001,confidence mean,0.8375,mean accuracy,0.8493827160493825,adjusted qsr
claude-3-opus-20240229,3,9.044875000000001,rewards mean,0.8922812499999999,meta-cognitive sensitivity,0.8418750000000002,confidence mean,0.9,mean accuracy,0.8205246913580246,adjusted qsr
claude-3-opus-20240229,4,7.711,rewards mean,0.8837812499999999,meta-cognitive sensitivity,0.8481249999999999,confidence mean,0.8625,mean accuracy,0.8367283950617284,adjusted qsr
