engine,run,performance_score1,performance_score1_name,behaviour_score1,behaviour_score1_name,behaviour_score2,behaviour_score2_name,performance_score2,performance_score2_name,behaviour_score3,behaviour_score3_name
gpt-4,0,56.72012500000001,rewards mean,0.8515625,meta-cognitive sensitivity,0.74375,confidence mean,0.825,mean accuracy,0.825,adjusted qsr
gpt-4,1,56.765625,rewards mean,0.80546875,meta-cognitive sensitivity,0.740625,confidence mean,0.7375,mean accuracy,0.725,adjusted qsr
gpt-4,2,58.858875,rewards mean,0.8929300000000001,meta-cognitive sensitivity,0.8234999999999999,confidence mean,0.8875,mean accuracy,0.8584591836734694,adjusted qsr
gpt-4,3,58.443875000000006,rewards mean,0.79865625,meta-cognitive sensitivity,0.884375,confidence mean,0.7875,mean accuracy,0.7212962962962963,adjusted qsr
gpt-4,4,57.82775,rewards mean,0.8197287500000001,meta-cognitive sensitivity,0.9333750000000002,confidence mean,0.825,mean accuracy,0.7675812161599334,adjusted qsr
gpt-4,5,57.94962499999999,rewards mean,0.8051775000000001,meta-cognitive sensitivity,0.8705,confidence mean,0.8125,mean accuracy,0.7098448563098708,adjusted qsr
gpt-4,6,58.760375,rewards mean,0.8626249999999999,meta-cognitive sensitivity,0.8375,confidence mean,0.8625,mean accuracy,0.795216049382716,adjusted qsr
gpt-4,7,55.12987499999999,rewards mean,0.79650625,meta-cognitive sensitivity,0.864875,confidence mean,0.8125,mean accuracy,0.6880049979175343,adjusted qsr
gpt-4,8,56.893875,rewards mean,0.8017187499999998,meta-cognitive sensitivity,0.818125,confidence mean,0.8,mean accuracy,0.6853395061728395,adjusted qsr
gpt-4,9,58.901250000000005,rewards mean,0.8070449999999999,meta-cognitive sensitivity,0.7215,confidence mean,0.8375,mean accuracy,0.5487098765432099,adjusted qsr
gpt-4,10,55.416,rewards mean,0.8169325000000001,meta-cognitive sensitivity,0.8307500000000001,confidence mean,0.825,mean accuracy,0.6943877551020409,adjusted qsr
gpt-4,11,58.351375,rewards mean,0.85825,meta-cognitive sensitivity,0.8275,confidence mean,0.85,mean accuracy,0.7944444444444444,adjusted qsr
gpt-4,12,55.44125,rewards mean,0.83232125,meta-cognitive sensitivity,0.791125,confidence mean,0.8,mean accuracy,0.755981882548938,adjusted qsr
gpt-4,13,56.110375,rewards mean,0.8062324999999999,meta-cognitive sensitivity,0.8114999999999999,confidence mean,0.7875,mean accuracy,0.6958298625572679,adjusted qsr
gpt-4,14,55.124375,rewards mean,0.75296875,meta-cognitive sensitivity,0.826875,confidence mean,0.7,mean accuracy,0.7100308641975308,adjusted qsr
gpt-4,15,56.334375,rewards mean,0.779625,meta-cognitive sensitivity,0.8225,confidence mean,0.7875,mean accuracy,0.6273148148148149,adjusted qsr
gpt-4,16,58.30650000000001,rewards mean,0.8546825000000002,meta-cognitive sensitivity,0.8307500000000001,confidence mean,0.8875,mean accuracy,0.7089285714285715,adjusted qsr
gpt-4,17,58.715875,rewards mean,0.8544325,meta-cognitive sensitivity,0.8307500000000001,confidence mean,0.875,mean accuracy,0.7209183673469388,adjusted qsr
gpt-4,18,58.875,rewards mean,0.8770375000000001,meta-cognitive sensitivity,0.9562500000000002,confidence mean,0.875,mean accuracy,0.8502811328613078,adjusted qsr
gpt-4,19,58.309375,rewards mean,0.8578125,meta-cognitive sensitivity,0.74375,confidence mean,0.85,mean accuracy,0.825,adjusted qsr
text-davinci-003,0,56.239625,rewards mean,0.7875,meta-cognitive sensitivity,0.75,confidence mean,0.7,mean accuracy,0.7875,adjusted qsr
text-davinci-003,1,52.7195,rewards mean,0.725,meta-cognitive sensitivity,0.75,confidence mean,0.575,mean accuracy,0.725,adjusted qsr
text-davinci-003,2,51.0555,rewards mean,0.7,meta-cognitive sensitivity,0.75,confidence mean,0.525,mean accuracy,0.7,adjusted qsr
text-davinci-003,3,54.1785,rewards mean,0.7875,meta-cognitive sensitivity,0.75,confidence mean,0.7,mean accuracy,0.7875,adjusted qsr
text-davinci-003,4,53.691375,rewards mean,0.78125,meta-cognitive sensitivity,0.75,confidence mean,0.6875,mean accuracy,0.78125,adjusted qsr
text-davinci-003,5,55.161625,rewards mean,0.78125,meta-cognitive sensitivity,0.75,confidence mean,0.6875,mean accuracy,0.78125,adjusted qsr
text-davinci-003,6,51.904500000000006,rewards mean,0.7,meta-cognitive sensitivity,0.75,confidence mean,0.525,mean accuracy,0.7,adjusted qsr
text-davinci-003,7,56.91975,rewards mean,0.825,meta-cognitive sensitivity,0.75,confidence mean,0.775,mean accuracy,0.825,adjusted qsr
text-davinci-003,8,52.61937500000001,rewards mean,0.725,meta-cognitive sensitivity,0.75,confidence mean,0.575,mean accuracy,0.725,adjusted qsr
text-davinci-003,9,54.847375,rewards mean,0.75625,meta-cognitive sensitivity,0.75,confidence mean,0.6375,mean accuracy,0.75625,adjusted qsr
text-davinci-003,10,52.3155,rewards mean,0.73125,meta-cognitive sensitivity,0.75,confidence mean,0.5875,mean accuracy,0.73125,adjusted qsr
text-davinci-003,11,51.07525,rewards mean,0.7125,meta-cognitive sensitivity,0.75,confidence mean,0.55,mean accuracy,0.7125,adjusted qsr
text-davinci-003,12,50.89,rewards mean,0.70625,meta-cognitive sensitivity,0.75,confidence mean,0.5375,mean accuracy,0.70625,adjusted qsr
text-davinci-003,13,51.974875,rewards mean,0.725,meta-cognitive sensitivity,0.75,confidence mean,0.575,mean accuracy,0.725,adjusted qsr
text-davinci-003,14,52.406125,rewards mean,0.7,meta-cognitive sensitivity,0.75,confidence mean,0.525,mean accuracy,0.7,adjusted qsr
text-davinci-003,15,44.4955,rewards mean,0.54375,meta-cognitive sensitivity,0.75,confidence mean,0.2125,mean accuracy,0.54375,adjusted qsr
text-davinci-003,16,51.663,rewards mean,0.7125,meta-cognitive sensitivity,0.75,confidence mean,0.55,mean accuracy,0.7125,adjusted qsr
text-davinci-003,17,50.053625,rewards mean,0.53625,meta-cognitive sensitivity,0.95,confidence mean,0.4875,mean accuracy,0.53625,adjusted qsr
text-davinci-003,18,51.21937499999999,rewards mean,0.58125,meta-cognitive sensitivity,0.95,confidence mean,0.5375,mean accuracy,0.58125,adjusted qsr
text-davinci-003,19,51.47837500000001,rewards mean,0.5812499999999999,meta-cognitive sensitivity,0.95,confidence mean,0.5375,mean accuracy,0.5812499999999999,adjusted qsr
human,0,55.837945993722144,rewards mean,0.8377031431219756,meta-cognitive sensitivity,0.9685195017903628,confidence mean,0.8097622027534418,mean accuracy,0.8456223023821453,adjusted qsr
human,1,50.22409531429912,rewards mean,0.5378006132823638,meta-cognitive sensitivity,0.995198010508761,confidence mean,0.5331664580725908,mean accuracy,0.5556503450027098,adjusted qsr
human,2,55.12768684193242,rewards mean,0.8337299938063762,meta-cognitive sensitivity,0.7432954994145807,confidence mean,0.7834793491864831,mean accuracy,0.7233329259906845,adjusted qsr
human,3,53.17439926294994,rewards mean,0.7558148400991099,meta-cognitive sensitivity,0.8102489328715582,confidence mean,0.6795994993742178,mean accuracy,0.7250962652844247,adjusted qsr
human,4,53.48596408054694,rewards mean,0.8179557542753323,meta-cognitive sensitivity,0.7579930013285356,confidence mean,0.685857321652065,mean accuracy,0.7679633910518922,adjusted qsr
human,5,58.28312509473717,rewards mean,0.9365249152056008,meta-cognitive sensitivity,0.9689774268854818,confidence mean,0.9224030037546934,mean accuracy,0.933510641350719,adjusted qsr
human,6,56.0237921712716,rewards mean,0.8446866317811454,meta-cognitive sensitivity,0.8452727210086045,confidence mean,0.785982478097622,mean accuracy,0.8155467429080614,adjusted qsr
human,7,56.08805810953943,rewards mean,0.8406740403778408,meta-cognitive sensitivity,0.9445870190394242,confidence mean,0.8085106382978723,mean accuracy,0.8180928488761936,adjusted qsr
human,8,57.60691213133292,rewards mean,0.905212594064892,meta-cognitive sensitivity,0.98035949930413,confidence mean,0.8911138923654568,mean accuracy,0.9097903684422448,adjusted qsr
human,9,56.40931521327034,rewards mean,0.8740826527724953,meta-cognitive sensitivity,0.8374381570497498,confidence mean,0.8285356695869838,mean accuracy,0.837712736225776,adjusted qsr
human,10,54.9362171029587,rewards mean,0.8247180178729118,meta-cognitive sensitivity,0.8389154704959324,confidence mean,0.7734668335419274,mean accuracy,0.7745550590661151,adjusted qsr
human,11,55.8040004279174,rewards mean,0.8443548027190763,meta-cognitive sensitivity,0.9503152790605444,confidence mean,0.8210262828535669,mean accuracy,0.8513622971427866,adjusted qsr
human,12,55.01416695081102,rewards mean,0.8302546612075263,meta-cognitive sensitivity,0.7685688760785356,confidence mean,0.7659574468085106,mean accuracy,0.7009936135409938,adjusted qsr
human,13,52.3987618749637,rewards mean,0.653800850694485,meta-cognitive sensitivity,0.9697570376176472,confidence mean,0.6408010012515645,mean accuracy,0.6610360978100469,adjusted qsr
human,14,55.93642415086858,rewards mean,0.8542301598380285,meta-cognitive sensitivity,0.8725462176479976,confidence mean,0.8147684605757196,mean accuracy,0.817491504786407,adjusted qsr
human,15,55.59573678973217,rewards mean,0.8388787011720125,meta-cognitive sensitivity,0.9517887975932416,confidence mean,0.8210262828535669,mean accuracy,0.8348990737404615,adjusted qsr
human,16,53.794508555808505,rewards mean,0.8028188161641183,meta-cognitive sensitivity,0.8420756882938047,confidence mean,0.7359198998748435,mean accuracy,0.8010149828004034,adjusted qsr
human,17,55.81178195404255,rewards mean,0.8515145483798736,meta-cognitive sensitivity,0.7790390971285983,confidence mean,0.8097622027534418,mean accuracy,0.7479606237723102,adjusted qsr
human,18,55.06347350713766,rewards mean,0.7988563027501885,meta-cognitive sensitivity,0.9362425555832292,confidence mean,0.7647058823529411,mean accuracy,0.7739303309857355,adjusted qsr
human,19,55.60896816786232,rewards mean,0.7876247978740087,meta-cognitive sensitivity,0.9267180928811012,confidence mean,0.7672090112640801,mean accuracy,0.775173092059865,adjusted qsr
human,20,54.49805973091364,rewards mean,0.8077077045808461,meta-cognitive sensitivity,0.8349567954202127,confidence mean,0.7484355444305382,mean accuracy,0.7714972762076988,adjusted qsr
human,21,51.18802344472216,rewards mean,0.6984719287485744,meta-cognitive sensitivity,0.8020809053003755,confidence mean,0.5844806007509387,mean accuracy,0.6760307855844108,adjusted qsr
human,22,50.99126736348185,rewards mean,0.6730682928353474,meta-cognitive sensitivity,0.8291255561528473,confidence mean,0.55819774718398,mean accuracy,0.6952047794740553,adjusted qsr
human,23,54.90160451518648,rewards mean,0.8369873029528996,meta-cognitive sensitivity,0.7425889488502817,confidence mean,0.7822277847309136,mean accuracy,0.6763631379259546,adjusted qsr
human,24,53.72046875612265,rewards mean,0.7257845088480681,meta-cognitive sensitivity,0.9628758787481224,confidence mean,0.704630788485607,mean accuracy,0.7281564092239375,adjusted qsr
human,25,51.017038520065086,rewards mean,0.7257802577793497,meta-cognitive sensitivity,0.7453194728868899,confidence mean,0.5819774718397998,mean accuracy,0.7185152739184,adjusted qsr
human,26,54.61188421934168,rewards mean,0.8031682858790876,meta-cognitive sensitivity,0.7665983436647371,confidence mean,0.7496871088861077,mean accuracy,0.697233496934725,adjusted qsr
human,27,54.36580817932291,rewards mean,0.8131206191376688,meta-cognitive sensitivity,0.8146765444378913,confidence mean,0.737171464330413,mean accuracy,0.7463661559192606,adjusted qsr
human,28,54.89111936581728,rewards mean,0.8332163958452536,meta-cognitive sensitivity,0.7658313903893931,confidence mean,0.7521902377972466,mean accuracy,0.7531046976463465,adjusted qsr
human,29,57.09007999943179,rewards mean,0.8942705712831257,meta-cognitive sensitivity,0.942680033544274,confidence mean,0.8798498122653317,mean accuracy,0.873008590320237,adjusted qsr
human,30,53.76852669576596,rewards mean,0.8168401249412123,meta-cognitive sensitivity,0.7441772893247809,confidence mean,0.7171464330413017,mean accuracy,0.735360766175127,adjusted qsr
human,31,55.73857682846808,rewards mean,0.8348899306499714,meta-cognitive sensitivity,0.9010783117595432,confidence mean,0.8197747183979975,mean accuracy,0.7780736425097732,adjusted qsr
human,32,55.39634509141677,rewards mean,0.8236997432245861,meta-cognitive sensitivity,0.679771930219493,confidence mean,0.7822277847309136,mean accuracy,0.6560369305584683,adjusted qsr
human,33,55.22236631971338,rewards mean,0.8517189065427078,meta-cognitive sensitivity,0.8159515562535983,confidence mean,0.799749687108886,mean accuracy,0.7997502831958627,adjusted qsr
human,34,55.98112425318023,rewards mean,0.8665734691640515,meta-cognitive sensitivity,0.906736917043492,confidence mean,0.8160200250312891,mean accuracy,0.8679311450479701,adjusted qsr
human,35,55.95933208331664,rewards mean,0.853565352894612,meta-cognitive sensitivity,0.8962343862273154,confidence mean,0.8235294117647058,mean accuracy,0.8119786146942174,adjusted qsr
human,36,52.08605384914893,rewards mean,0.742221376419352,meta-cognitive sensitivity,0.6522459382811326,confidence mean,0.5882352941176471,mean accuracy,0.6082537487919263,adjusted qsr
human,37,56.04448881876221,rewards mean,0.8710934680361202,meta-cognitive sensitivity,0.8141394072665832,confidence mean,0.8435544430538173,mean accuracy,0.8066608086901635,adjusted qsr
human,38,56.22281554077722,rewards mean,0.8589362643829075,meta-cognitive sensitivity,0.8006483410046934,confidence mean,0.8147684605757196,mean accuracy,0.7790979387118557,adjusted qsr
human,39,51.93522023745432,rewards mean,0.6671689410906244,meta-cognitive sensitivity,0.8911096862243428,confidence mean,0.5932415519399249,mean accuracy,0.67787358126425,adjusted qsr
human,40,55.97258901574218,rewards mean,0.8589528671616059,meta-cognitive sensitivity,0.8711933336972778,confidence mean,0.8210262828535669,mean accuracy,0.804252519401117,adjusted qsr
human,41,54.89418179494242,rewards mean,0.815846981184198,meta-cognitive sensitivity,0.6770131506520651,confidence mean,0.7834793491864831,mean accuracy,0.6089011912743387,adjusted qsr
