engine,run,performance_score1,performance_score1_name,performance_score1_CI,behaviour_score1,behaviour_score1_name,behaviour_score1_CI,behaviour_score2,behaviour_score2_name,behaviour_score2_CI,behaviour_score3,behaviour_score3_name,behaviour_score3_CI,behaviour_score4,behaviour_score4_name,behaviour_score4_CI
llama_13,0,0.7795087611873717,1 - Difference to bayes optimal posterior prediction,0.0280000198003032,0.8367160796479653,prior weighting,0.3278665047611451,0.1508811413092747,likelihood weighting,0.5296564434825413,5.54553122005402,prior / likelihood,19.588058788929228,0.6858349383386906,prior - likelihood,0.6229224615205848
llama-2-13,0,0.7101621990870366,1 - Difference to bayes optimal posterior prediction,0.0209725101264941,0.5550391047331342,prior weighting,0.1719641143518908,-0.1537091948757146,likelihood weighting,0.1763919517002715,-3.6109687854518064,prior / likelihood,4.292203878172343,0.7087482996088488,prior - likelihood,0.2463448340222728
text-davinci-003,0,0.8163579759903598,1 - Difference to bayes optimal posterior prediction,0.0292134313322388,0.3941398960547961,prior weighting,0.0896700981760036,0.241584852094787,likelihood weighting,0.1445003830963933,1.6314760326949362,prior / likelihood,1.0440498805351983,0.1525550439600091,prior - likelihood,0.1700620099313735
hf_Llama-2-13b-longlora-32k,0,0.7164244735691137,1 - Difference to bayes optimal posterior prediction,0.020567537594897,0.3814716627185049,prior weighting,0.1291263928282778,-0.0304255127497179,likelihood weighting,0.129187792465884,-12.537887721285536,prior / likelihood,53.40520959065531,0.4118971754682229,prior - likelihood,0.1826557172580454
hf_Llama-2-70b-chat-longlora-32k,0,0.7692322852227025,1 - Difference to bayes optimal posterior prediction,0.0186403797674858,0.3648878221784761,prior weighting,0.0851428029311873,0.0649780653506917,likelihood weighting,0.0895206199119598,5.615553805875071,prior / likelihood,7.846757583319923,0.2999097568277843,prior - likelihood,0.123544478955559
llama-2-70-chat,0,0.7632089484603477,1 - Difference to bayes optimal posterior prediction,0.0183237641934305,0.424283094765103,prior weighting,0.0818448522307895,0.0086906402212382,likelihood weighting,0.07940901788981,48.82069490441441,prior / likelihood,446.1889079411516,0.4155924545438648,prior - likelihood,0.1140367132063351
hf_koala-7B-HF,0,0.8018014343131464,1 - Difference to bayes optimal posterior prediction,0.0022464010606204,0.0707935741841932,prior weighting,0.0082975712214978,0.7410760606322512,likelihood weighting,0.0081910855900547,0.0955280813197439,prior / likelihood,0.0112463277492582,-0.670282486448058,prior - likelihood,0.0116594841789605
hf_CodeLlama-34B,0,0.7279046730963523,1 - Difference to bayes optimal posterior prediction,0.0111386447355573,0.1384519377195019,prior weighting,0.0280173522840758,0.0265069625469185,likelihood weighting,0.0286182629762089,5.223229084601293,prior / likelihood,5.7374646109313625,0.1119449751725834,prior - likelihood,0.0400496817064188
llama_30,0,0.7460616792670764,1 - Difference to bayes optimal posterior prediction,0.0243711017332358,0.4686550190854768,prior weighting,0.2870187047290872,0.3785777297199383,likelihood weighting,0.4125698384155845,1.237936049307959,prior / likelihood,1.547524709500999,0.0900772893655384,prior - likelihood,0.502586916298688
hf_falcon-40b,0,0.7027337202610815,1 - Difference to bayes optimal posterior prediction,0.0094199401935621,0.0184202133382789,prior weighting,0.0146951607040562,0.0065207847236,likelihood weighting,0.0145726512263823,2.824846106575539,prior / likelihood,6.703149028523249,0.0118994286146788,prior - likelihood,0.0206956495883512
