run,trial,action1,state,action2,reward,probsA,probsB,probsC,probsD
0,0,X,X,D,0,0.654572071264556,0.33374647895583,0.740300603490208,0.5331068212094612
0,1,X,X,D,1,0.6714801896339804,0.3365691187072293,0.7268778814214261,0.5243137108198511
0,2,X,X,D,1,0.7217150606998833,0.3568671839381725,0.7138905360596325,0.5213411294971964
0,3,X,Y,J,0,0.7221843311666284,0.3539463420890154,0.7472068813142739,0.524851672989789
0,4,X,X,D,1,0.75,0.3628767312397756,0.75,0.5346519881455801
0,5,X,X,D,1,0.7348161874549576,0.3681714776060178,0.7285642494983059,0.4980457051762588
0,6,X,Y,J,1,0.75,0.3629953438837883,0.6966024780940206,0.5384437375413013
0,7,X,X,D,1,0.7495851527237904,0.3173296125569353,0.6965518092742802,0.5372492613879031
0,8,X,X,D,1,0.7421180051813492,0.3007641449154978,0.7149116232471695,0.5223122289625926
0,9,X,X,D,1,0.7215558953184803,0.3136836370579481,0.7198574005197459,0.5593711500938778
0,10,X,X,D,1,0.6607271939023779,0.3330534618722737,0.7069415421795124,0.4917274778384994
0,11,X,X,D,1,0.6229734460256174,0.2919497697770811,0.6982649525110495,0.5115551349218448
0,12,X,X,D,1,0.6137280380396841,0.2966560416766863,0.6764447894621712,0.522143800481506
0,13,X,Y,J,1,0.5801381946156219,0.2770033895010697,0.6606866422509106,0.5084271456786004
0,14,X,X,D,1,0.6388547121749129,0.2932208355121835,0.6723093219208379,0.507020960206149
0,15,X,X,D,1,0.6661985135060057,0.2859704154894849,0.6559949528222255,0.5189642119367708
0,16,X,Y,J,1,0.6470801468587162,0.2932818074270884,0.6510242242347096,0.5287058049335578
0,17,X,Y,J,1,0.6676600317963315,0.3030107519861273,0.6036782138015399,0.5211565233966058
0,18,X,X,D,0,0.6809528029940976,0.3148511954286755,0.5997047433422483,0.5255588068252472
0,19,X,Y,J,1,0.7236753718250224,0.2880216805675281,0.5606238404693247,0.5076974565773433
1,0,X,X,D,1,0.4428467841793898,0.6184401888813098,0.7368334810626658,0.7318433652873388
1,1,X,X,D,1,0.4356351406637663,0.5975801146269111,0.75,0.7104601720365871
1,2,X,Y,J,1,0.3933793725104483,0.5485211954945233,0.75,0.7019477774056899
1,3,X,X,D,1,0.4295692322372486,0.5419620402108924,0.75,0.7118828960721721
1,4,X,X,D,0,0.412907032729346,0.55558308788576,0.7357036652520129,0.683080436542882
1,5,X,Y,J,1,0.4017559943011902,0.5326051145303834,0.7336615308038535,0.7422220516838651
1,6,X,X,D,1,0.3984196715971023,0.5205772392669473,0.7220366477723116,0.7344603233029309
1,7,X,X,D,1,0.4418205742721017,0.5134568716608128,0.7143488741213733,0.7071327795788698
1,8,X,X,D,0,0.452738752744353,0.4872006301711765,0.6882885619466633,0.6824514064593052
1,9,X,X,D,1,0.4891720983193137,0.4837524438488766,0.6829658811123885,0.7296266681654463
1,10,X,X,D,1,0.5159177949928108,0.4890521955538388,0.6489013523160065,0.6725429469278916
1,11,X,X,D,0,0.50102285498007,0.5012637951698261,0.6179160093936976,0.7072573954830176
1,12,X,Y,J,0,0.4926998874267893,0.5435266486746648,0.6026933854960212,0.683848045183309
1,13,X,X,D,0,0.4863453861423406,0.5301388856071947,0.6005959412936531,0.6243486909951673
1,14,X,Y,J,1,0.4934476938404994,0.5359506404500491,0.6052422727203536,0.6262838319446956
1,15,X,X,D,1,0.4685206111211558,0.5854057853361242,0.6410494692479919,0.6497408241404458
1,16,X,Y,J,1,0.436878949764504,0.5919830690698468,0.650543960481242,0.6135693689614143
1,17,X,X,D,0,0.4603689815763226,0.5919893857791558,0.6459472653067709,0.642280652065131
1,18,X,X,D,0,0.4612603599189921,0.636149354112663,0.6518178343493188,0.6382162053012761
1,19,X,X,D,0,0.4370352464566722,0.6232460203653135,0.6625993859866651,0.6513236973174508
2,0,X,X,D,0,0.3925060689693398,0.4963736883115093,0.4015885132173008,0.2803313217347788
2,1,X,X,D,1,0.4097845567034469,0.4807412401368017,0.3715642200142695,0.3161157382171579
2,2,X,X,D,0,0.3831953355406526,0.4374305058745504,0.441492875784525,0.3079996826016549
2,3,X,X,D,0,0.377261557891597,0.4313277524431564,0.4361787924239723,0.3431440668001693
2,4,X,X,D,1,0.4083942159767835,0.4216188208365605,0.4286841660216467,0.3250039073963675
2,5,X,X,D,1,0.434840347307561,0.4498002709748003,0.44938030175321,0.3115621281322659
2,6,X,X,D,1,0.4202026002720549,0.4625015246419175,0.4438279606480098,0.2830370407817891
2,7,X,Y,J,1,0.4344432289814472,0.4594754266611822,0.4900235659655786,0.2972572627033914
2,8,X,X,D,1,0.44084439921174,0.4100635359682203,0.4404544839042324,0.2598385245781055
2,9,X,X,D,0,0.4425493917730401,0.3638216523590623,0.4799028324840558,0.25
2,10,X,X,D,0,0.4637588974329258,0.3596843654448413,0.4425821243867101,0.25
2,11,X,X,D,0,0.4908391202416631,0.3107977061324847,0.419365324389218,0.25
2,12,X,X,D,1,0.515806222986888,0.3617341966851248,0.4299509230374941,0.2874182669552234
2,13,X,Y,J,0,0.5309184489735206,0.405790338665042,0.389077388696793,0.3000537088463135
2,14,X,X,D,1,0.5425287152151231,0.4359992553073325,0.3724010433867522,0.3219621197128409
2,15,X,Y,J,1,0.5688427454583396,0.4160776843782971,0.3452691262606878,0.3086013522019714
2,16,X,X,D,1,0.572764127840027,0.4257581276097619,0.3699555428644292,0.3486555657248114
2,17,X,X,D,1,0.5847387409140304,0.4059855831012738,0.327777908230262,0.3933486704040512
2,18,X,X,D,0,0.5836921579721817,0.424908493676953,0.3295471084350147,0.3715486262472081
2,19,X,X,D,1,0.5771011656751788,0.4282844991586602,0.356143270191784,0.3538732628241768
