run,trial,mean0,mean1,reward0,reward1,choice,reward
0,0,48.0,40.0,52.0,45.0,0,52.0
0,1,48.0,40.0,64.0,36.0,1,36.0
0,2,48.0,40.0,62.0,45.0,0,62.0
0,3,48.0,40.0,51.0,42.0,1,42.0
0,4,48.0,40.0,35.0,34.0,0,35.0
0,5,48.0,40.0,55.0,40.0,0,55.0
0,6,48.0,40.0,57.0,42.0,0,57.0
0,7,48.0,40.0,49.0,49.0,0,49.0
0,8,48.0,40.0,39.0,28.0,0,39.0
0,9,48.0,40.0,56.0,54.0,0,56.0
1,0,70.0,40.0,75.0,42.0,0,75.0
1,1,70.0,40.0,79.0,42.0,0,79.0
1,2,70.0,40.0,68.0,58.0,0,68.0
1,3,70.0,40.0,61.0,33.0,1,33.0
1,4,70.0,40.0,75.0,38.0,0,75.0
1,5,70.0,40.0,65.0,31.0,0,65.0
1,6,70.0,40.0,68.0,43.0,0,68.0
1,7,70.0,40.0,70.0,26.0,0,70.0
1,8,70.0,40.0,68.0,42.0,0,68.0
1,9,70.0,40.0,79.0,36.0,0,79.0
2,0,60.0,40.0,73.0,43.0,0,73.0
2,1,60.0,40.0,56.0,50.0,0,56.0
2,2,60.0,40.0,46.0,50.0,1,50.0
2,3,60.0,40.0,61.0,33.0,1,33.0
2,4,60.0,40.0,65.0,34.0,0,65.0
2,5,60.0,40.0,62.0,19.0,0,62.0
2,6,60.0,40.0,55.0,32.0,0,55.0
2,7,60.0,40.0,72.0,48.0,0,72.0
2,8,60.0,40.0,65.0,47.0,0,65.0
2,9,60.0,40.0,57.0,56.0,0,57.0
3,0,90.0,60.0,98.0,62.0,0,98.0
3,1,90.0,60.0,80.0,64.0,1,64.0
3,2,90.0,60.0,85.0,71.0,1,71.0
3,3,90.0,60.0,85.0,66.0,0,85.0
3,4,90.0,60.0,97.0,49.0,0,97.0
4,0,60.0,68.0,57.0,54.0,1,54.0
4,1,60.0,68.0,52.0,47.0,0,52.0
4,2,60.0,68.0,47.0,78.0,1,78.0
4,3,60.0,68.0,58.0,77.0,1,77.0
4,4,60.0,68.0,66.0,71.0,1,71.0
4,5,60.0,68.0,56.0,62.0,1,62.0
4,6,60.0,68.0,59.0,54.0,1,54.0
4,7,60.0,68.0,68.0,66.0,1,66.0
4,8,60.0,68.0,62.0,79.0,1,79.0
4,9,60.0,68.0,65.0,63.0,1,63.0
5,0,48.0,60.0,42.0,58.0,0,42.0
5,1,48.0,60.0,54.0,61.0,0,54.0
5,2,48.0,60.0,52.0,61.0,1,61.0
5,3,48.0,60.0,34.0,65.0,1,65.0
5,4,48.0,60.0,54.0,55.0,0,54.0
6,0,40.0,52.0,45.0,64.0,1,64.0
6,1,40.0,52.0,32.0,42.0,0,32.0
6,2,40.0,52.0,44.0,58.0,1,58.0
6,3,40.0,52.0,39.0,52.0,1,52.0
6,4,40.0,52.0,50.0,51.0,1,51.0
7,0,60.0,72.0,68.0,79.0,0,68.0
7,1,60.0,72.0,58.0,64.0,0,58.0
7,2,60.0,72.0,66.0,76.0,1,76.0
7,3,60.0,72.0,52.0,59.0,0,52.0
7,4,60.0,72.0,49.0,83.0,0,49.0
8,0,48.0,60.0,39.0,52.0,0,39.0
8,1,48.0,60.0,54.0,47.0,0,54.0
8,2,48.0,60.0,39.0,54.0,1,54.0
8,3,48.0,60.0,42.0,74.0,0,42.0
8,4,48.0,60.0,59.0,58.0,0,59.0
8,5,48.0,60.0,51.0,67.0,0,51.0
8,6,48.0,60.0,34.0,61.0,0,34.0
8,7,48.0,60.0,36.0,62.0,0,36.0
8,8,48.0,60.0,51.0,46.0,0,51.0
8,9,48.0,60.0,45.0,58.0,0,45.0
9,0,40.0,28.0,41.0,21.0,0,41.0
9,1,40.0,28.0,44.0,19.0,0,44.0
9,2,40.0,28.0,40.0,39.0,0,40.0
9,3,40.0,28.0,33.0,30.0,1,30.0
9,4,40.0,28.0,44.0,10.0,0,44.0
9,5,40.0,28.0,38.0,50.0,0,38.0
9,6,40.0,28.0,30.0,21.0,0,30.0
9,7,40.0,28.0,42.0,24.0,0,42.0
9,8,40.0,28.0,55.0,26.0,0,55.0
9,9,40.0,28.0,33.0,37.0,0,33.0
10,0,60.0,90.0,66.0,78.0,0,66.0
10,1,60.0,90.0,68.0,92.0,1,92.0
10,2,60.0,90.0,48.0,93.0,1,93.0
10,3,60.0,90.0,53.0,100.0,0,53.0
10,4,60.0,90.0,64.0,85.0,0,64.0
11,0,52.0,60.0,44.0,59.0,1,59.0
11,1,52.0,60.0,53.0,57.0,1,57.0
11,2,52.0,60.0,62.0,63.0,0,62.0
11,3,52.0,60.0,58.0,66.0,1,66.0
11,4,52.0,60.0,60.0,52.0,1,52.0
12,0,40.0,36.0,40.0,34.0,1,34.0
12,1,40.0,36.0,30.0,33.0,0,30.0
12,2,40.0,36.0,31.0,39.0,1,39.0
12,3,40.0,36.0,46.0,24.0,1,24.0
12,4,40.0,36.0,43.0,31.0,1,31.0
12,5,40.0,36.0,47.0,35.0,1,35.0
12,6,40.0,36.0,42.0,39.0,1,39.0
12,7,40.0,36.0,36.0,39.0,1,39.0
12,8,40.0,36.0,47.0,32.0,1,32.0
12,9,40.0,36.0,45.0,34.0,1,34.0
13,0,80.0,60.0,79.0,57.0,0,79.0
13,1,80.0,60.0,84.0,56.0,1,56.0
13,2,80.0,60.0,73.0,63.0,1,63.0
13,3,80.0,60.0,75.0,81.0,0,75.0
13,4,80.0,60.0,86.0,65.0,0,86.0
14,0,48.0,40.0,47.0,24.0,0,47.0
14,1,48.0,40.0,55.0,50.0,0,55.0
14,2,48.0,40.0,49.0,30.0,1,30.0
14,3,48.0,40.0,55.0,20.0,1,20.0
14,4,48.0,40.0,36.0,43.0,0,36.0
15,0,60.0,90.0,61.0,87.0,1,87.0
15,1,60.0,90.0,51.0,104.0,1,104.0
15,2,60.0,90.0,76.0,89.0,0,76.0
15,3,60.0,90.0,47.0,93.0,1,93.0
15,4,60.0,90.0,75.0,82.0,1,82.0
16,0,40.0,60.0,45.0,62.0,0,45.0
16,1,40.0,60.0,39.0,54.0,1,54.0
16,2,40.0,60.0,29.0,63.0,1,63.0
16,3,40.0,60.0,39.0,64.0,0,39.0
16,4,40.0,60.0,38.0,61.0,0,38.0
16,5,40.0,60.0,30.0,55.0,0,30.0
16,6,40.0,60.0,33.0,54.0,0,33.0
16,7,40.0,60.0,48.0,62.0,0,48.0
16,8,40.0,60.0,43.0,56.0,0,43.0
16,9,40.0,60.0,45.0,59.0,0,45.0
17,0,40.0,20.0,50.0,15.0,0,50.0
17,1,40.0,20.0,48.0,15.0,1,15.0
17,2,40.0,20.0,37.0,13.0,0,37.0
17,3,40.0,20.0,50.0,20.0,1,20.0
17,4,40.0,20.0,35.0,38.0,0,35.0
17,5,40.0,20.0,38.0,15.0,0,38.0
17,6,40.0,20.0,41.0,19.0,0,41.0
17,7,40.0,20.0,45.0,20.0,0,45.0
17,8,40.0,20.0,33.0,17.0,0,33.0
17,9,40.0,20.0,46.0,12.0,0,46.0
18,0,40.0,36.0,37.0,28.0,1,28.0
18,1,40.0,36.0,39.0,55.0,1,55.0
18,2,40.0,36.0,36.0,37.0,0,36.0
18,3,40.0,36.0,43.0,49.0,1,49.0
18,4,40.0,36.0,45.0,36.0,1,36.0
18,5,40.0,36.0,26.0,29.0,1,29.0
18,6,40.0,36.0,47.0,43.0,1,43.0
18,7,40.0,36.0,42.0,36.0,1,36.0
18,8,40.0,36.0,44.0,35.0,1,35.0
18,9,40.0,36.0,35.0,27.0,1,27.0
19,0,60.0,56.0,50.0,58.0,0,50.0
19,1,60.0,56.0,55.0,52.0,0,55.0
19,2,60.0,56.0,68.0,43.0,0,68.0
19,3,60.0,56.0,66.0,56.0,1,56.0
19,4,60.0,56.0,53.0,56.0,0,53.0
19,5,60.0,56.0,71.0,57.0,0,71.0
19,6,60.0,56.0,65.0,36.0,0,65.0
19,7,60.0,56.0,55.0,67.0,0,55.0
19,8,60.0,56.0,54.0,66.0,0,54.0
19,9,60.0,56.0,60.0,56.0,0,60.0
20,0,44.0,40.0,46.0,35.0,1,35.0
20,1,44.0,40.0,32.0,34.0,0,32.0
20,2,44.0,40.0,41.0,51.0,0,41.0
20,3,44.0,40.0,25.0,33.0,0,25.0
20,4,44.0,40.0,47.0,40.0,0,47.0
20,5,44.0,40.0,60.0,43.0,0,60.0
20,6,44.0,40.0,29.0,31.0,0,29.0
20,7,44.0,40.0,57.0,33.0,0,57.0
20,8,44.0,40.0,41.0,34.0,0,41.0
20,9,44.0,40.0,42.0,38.0,0,42.0
21,0,40.0,60.0,49.0,76.0,1,76.0
21,1,40.0,60.0,34.0,74.0,0,34.0
21,2,40.0,60.0,51.0,48.0,1,48.0
21,3,40.0,60.0,33.0,60.0,0,33.0
21,4,40.0,60.0,21.0,59.0,1,59.0
22,0,40.0,52.0,49.0,61.0,0,49.0
22,1,40.0,52.0,30.0,53.0,1,53.0
22,2,40.0,52.0,41.0,64.0,1,64.0
22,3,40.0,52.0,53.0,51.0,0,53.0
22,4,40.0,52.0,35.0,50.0,0,35.0
23,0,40.0,10.0,21.0,18.0,0,21.0
23,1,40.0,10.0,27.0,16.0,1,16.0
23,2,40.0,10.0,32.0,12.0,0,32.0
23,3,40.0,10.0,48.0,13.0,0,48.0
23,4,40.0,10.0,39.0,11.0,0,39.0
23,5,40.0,10.0,36.0,19.0,0,36.0
23,6,40.0,10.0,49.0,18.0,0,49.0
23,7,40.0,10.0,41.0,5.0,0,41.0
23,8,40.0,10.0,28.0,5.0,0,28.0
23,9,40.0,10.0,38.0,14.0,0,38.0
24,0,64.0,60.0,71.0,51.0,1,51.0
24,1,64.0,60.0,61.0,64.0,1,64.0
24,2,64.0,60.0,57.0,52.0,0,57.0
24,3,64.0,60.0,70.0,46.0,0,70.0
24,4,64.0,60.0,78.0,47.0,0,78.0
24,5,64.0,60.0,55.0,71.0,0,55.0
24,6,64.0,60.0,83.0,48.0,0,83.0
24,7,64.0,60.0,72.0,62.0,0,72.0
24,8,64.0,60.0,73.0,54.0,0,73.0
24,9,64.0,60.0,57.0,64.0,0,57.0
25,0,70.0,40.0,59.0,41.0,1,41.0
25,1,70.0,40.0,70.0,43.0,0,70.0
25,2,70.0,40.0,75.0,32.0,0,75.0
25,3,70.0,40.0,71.0,51.0,1,51.0
25,4,70.0,40.0,76.0,33.0,0,76.0
26,0,56.0,60.0,56.0,70.0,0,56.0
26,1,56.0,60.0,41.0,46.0,0,41.0
26,2,56.0,60.0,52.0,62.0,1,62.0
26,3,56.0,60.0,52.0,59.0,0,52.0
26,4,56.0,60.0,59.0,61.0,0,59.0
26,5,56.0,60.0,72.0,65.0,0,72.0
26,6,56.0,60.0,69.0,70.0,0,69.0
26,7,56.0,60.0,63.0,49.0,0,63.0
26,8,56.0,60.0,50.0,55.0,0,50.0
26,9,56.0,60.0,52.0,66.0,0,52.0
27,0,28.0,40.0,24.0,35.0,0,24.0
27,1,28.0,40.0,23.0,35.0,1,35.0
27,2,28.0,40.0,32.0,33.0,0,32.0
27,3,28.0,40.0,28.0,43.0,0,28.0
27,4,28.0,40.0,13.0,42.0,0,13.0
28,0,10.0,40.0,13.0,30.0,1,30.0
28,1,10.0,40.0,-4.0,45.0,0,-4.0
28,2,10.0,40.0,19.0,30.0,0,19.0
28,3,10.0,40.0,9.0,45.0,0,9.0
28,4,10.0,40.0,7.0,41.0,1,41.0
29,0,28.0,40.0,22.0,46.0,0,22.0
29,1,28.0,40.0,31.0,58.0,1,58.0
29,2,28.0,40.0,26.0,40.0,0,26.0
29,3,28.0,40.0,26.0,39.0,1,39.0
29,4,28.0,40.0,25.0,43.0,0,25.0
30,0,60.0,68.0,63.0,59.0,1,59.0
30,1,60.0,68.0,54.0,62.0,0,54.0
30,2,60.0,68.0,64.0,58.0,1,58.0
30,3,60.0,68.0,55.0,79.0,0,55.0
30,4,60.0,68.0,68.0,58.0,1,58.0
30,5,60.0,68.0,68.0,80.0,1,80.0
30,6,60.0,68.0,68.0,57.0,1,57.0
30,7,60.0,68.0,67.0,62.0,1,62.0
30,8,60.0,68.0,57.0,72.0,1,72.0
30,9,60.0,68.0,72.0,74.0,1,74.0
31,0,40.0,10.0,40.0,18.0,1,18.0
31,1,40.0,10.0,25.0,11.0,0,25.0
31,2,40.0,10.0,39.0,19.0,0,39.0
31,3,40.0,10.0,39.0,3.0,1,3.0
31,4,40.0,10.0,50.0,3.0,0,50.0
31,5,40.0,10.0,37.0,18.0,0,37.0
31,6,40.0,10.0,42.0,5.0,0,42.0
31,7,40.0,10.0,43.0,6.0,0,43.0
31,8,40.0,10.0,32.0,16.0,0,32.0
31,9,40.0,10.0,32.0,11.0,0,32.0
32,0,52.0,40.0,55.0,33.0,0,55.0
32,1,52.0,40.0,59.0,37.0,0,59.0
32,2,52.0,40.0,54.0,32.0,0,54.0
32,3,52.0,40.0,62.0,34.0,1,34.0
32,4,52.0,40.0,50.0,32.0,0,50.0
32,5,52.0,40.0,51.0,39.0,0,51.0
32,6,52.0,40.0,62.0,39.0,0,62.0
32,7,52.0,40.0,48.0,41.0,0,48.0
32,8,52.0,40.0,50.0,46.0,0,50.0
32,9,52.0,40.0,56.0,48.0,0,56.0
33,0,60.0,48.0,56.0,51.0,0,56.0
33,1,60.0,48.0,68.0,37.0,1,37.0
33,2,60.0,48.0,63.0,47.0,0,63.0
33,3,60.0,48.0,51.0,50.0,0,51.0
33,4,60.0,48.0,58.0,38.0,0,58.0
33,5,60.0,48.0,61.0,53.0,0,61.0
33,6,60.0,48.0,58.0,48.0,0,58.0
33,7,60.0,48.0,59.0,50.0,0,59.0
33,8,60.0,48.0,57.0,62.0,0,57.0
33,9,60.0,48.0,68.0,55.0,0,68.0
34,0,40.0,48.0,39.0,46.0,0,39.0
34,1,40.0,48.0,41.0,54.0,1,54.0
34,2,40.0,48.0,38.0,44.0,0,38.0
34,3,40.0,48.0,35.0,50.0,0,35.0
34,4,40.0,48.0,37.0,49.0,0,37.0
35,0,64.0,60.0,75.0,66.0,0,75.0
35,1,64.0,60.0,58.0,56.0,1,56.0
35,2,64.0,60.0,75.0,61.0,1,61.0
35,3,64.0,60.0,57.0,58.0,1,58.0
35,4,64.0,60.0,65.0,57.0,0,65.0
36,0,28.0,40.0,20.0,42.0,0,20.0
36,1,28.0,40.0,9.0,48.0,0,9.0
36,2,28.0,40.0,23.0,38.0,1,38.0
36,3,28.0,40.0,27.0,30.0,1,30.0
36,4,28.0,40.0,37.0,26.0,0,37.0
37,0,40.0,70.0,35.0,60.0,0,35.0
37,1,40.0,70.0,46.0,60.0,1,60.0
37,2,40.0,70.0,43.0,66.0,1,66.0
37,3,40.0,70.0,40.0,62.0,1,62.0
37,4,40.0,70.0,36.0,93.0,1,93.0
37,5,40.0,70.0,37.0,86.0,1,86.0
37,6,40.0,70.0,40.0,70.0,1,70.0
37,7,40.0,70.0,31.0,80.0,1,80.0
37,8,40.0,70.0,39.0,80.0,1,80.0
37,9,40.0,70.0,35.0,73.0,1,73.0
38,0,72.0,60.0,73.0,73.0,1,73.0
38,1,72.0,60.0,79.0,70.0,0,79.0
38,2,72.0,60.0,75.0,71.0,0,75.0
38,3,72.0,60.0,64.0,44.0,0,64.0
