run,trial,mean0,mean1,reward0,reward1,choice,reward
0,0,68.0,60.0,62.0,58.0,1,58.0
0,1,68.0,60.0,65.0,53.0,1,53.0
0,2,68.0,60.0,53.0,70.0,1,70.0
0,3,68.0,60.0,69.0,66.0,0,69.0
0,4,68.0,60.0,63.0,61.0,1,61.0
1,0,68.0,60.0,71.0,58.0,0,71.0
1,1,68.0,60.0,76.0,63.0,0,76.0
1,2,68.0,60.0,63.0,48.0,1,48.0
1,3,68.0,60.0,70.0,59.0,0,70.0
1,4,68.0,60.0,69.0,67.0,0,69.0
2,0,20.0,40.0,15.0,27.0,1,27.0
2,1,20.0,40.0,20.0,41.0,0,20.0
2,2,20.0,40.0,14.0,36.0,1,36.0
2,3,20.0,40.0,26.0,41.0,0,26.0
2,4,20.0,40.0,9.0,49.0,1,49.0
3,0,60.0,40.0,49.0,37.0,0,49.0
3,1,60.0,40.0,72.0,45.0,0,72.0
3,2,60.0,40.0,57.0,39.0,1,39.0
3,3,60.0,40.0,60.0,65.0,1,65.0
3,4,60.0,40.0,60.0,38.0,0,60.0
4,0,60.0,52.0,41.0,51.0,0,41.0
4,1,60.0,52.0,57.0,51.0,1,51.0
4,2,60.0,52.0,61.0,44.0,0,61.0
4,3,60.0,52.0,63.0,41.0,1,41.0
4,4,60.0,52.0,63.0,60.0,0,63.0
5,0,32.0,40.0,33.0,38.0,1,38.0
5,1,32.0,40.0,19.0,45.0,1,45.0
5,2,32.0,40.0,37.0,38.0,1,38.0
5,3,32.0,40.0,36.0,41.0,0,36.0
5,4,32.0,40.0,28.0,44.0,1,44.0
6,0,60.0,90.0,56.0,95.0,0,56.0
6,1,60.0,90.0,45.0,86.0,0,45.0
6,2,60.0,90.0,55.0,89.0,1,89.0
6,3,60.0,90.0,48.0,93.0,0,48.0
6,4,60.0,90.0,59.0,82.0,0,59.0
7,0,60.0,80.0,50.0,88.0,0,50.0
7,1,60.0,80.0,47.0,77.0,1,77.0
7,2,60.0,80.0,62.0,94.0,1,94.0
7,3,60.0,80.0,61.0,96.0,0,61.0
7,4,60.0,80.0,53.0,90.0,1,90.0
7,5,60.0,80.0,64.0,71.0,1,71.0
7,6,60.0,80.0,59.0,74.0,1,74.0
7,7,60.0,80.0,65.0,75.0,1,75.0
7,8,60.0,80.0,50.0,86.0,1,86.0
7,9,60.0,80.0,54.0,78.0,1,78.0
8,0,20.0,40.0,5.0,38.0,0,5.0
8,1,20.0,40.0,33.0,31.0,0,33.0
8,2,20.0,40.0,15.0,36.0,0,15.0
8,3,20.0,40.0,22.0,28.0,1,28.0
8,4,20.0,40.0,12.0,41.0,0,12.0
8,5,20.0,40.0,12.0,25.0,0,12.0
8,6,20.0,40.0,34.0,26.0,0,34.0
8,7,20.0,40.0,23.0,43.0,0,23.0
8,8,20.0,40.0,18.0,48.0,0,18.0
8,9,20.0,40.0,31.0,34.0,0,31.0
9,0,60.0,90.0,65.0,94.0,0,65.0
9,1,60.0,90.0,63.0,82.0,1,82.0
9,2,60.0,90.0,62.0,92.0,0,62.0
9,3,60.0,90.0,70.0,90.0,1,90.0
9,4,60.0,90.0,57.0,101.0,1,101.0
10,0,40.0,28.0,53.0,24.0,0,53.0
10,1,40.0,28.0,28.0,21.0,1,21.0
10,2,40.0,28.0,55.0,31.0,0,55.0
10,3,40.0,28.0,39.0,27.0,0,39.0
10,4,40.0,28.0,38.0,41.0,0,38.0
10,5,40.0,28.0,44.0,30.0,0,44.0
10,6,40.0,28.0,46.0,27.0,0,46.0
10,7,40.0,28.0,32.0,30.0,0,32.0
10,8,40.0,28.0,38.0,28.0,0,38.0
10,9,40.0,28.0,58.0,34.0,0,58.0
11,0,60.0,64.0,64.0,60.0,1,60.0
11,1,60.0,64.0,61.0,67.0,0,61.0
11,2,60.0,64.0,45.0,56.0,0,45.0
11,3,60.0,64.0,54.0,49.0,0,54.0
11,4,60.0,64.0,65.0,63.0,0,65.0
11,5,60.0,64.0,59.0,67.0,0,59.0
11,6,60.0,64.0,62.0,67.0,0,62.0
11,7,60.0,64.0,54.0,59.0,0,54.0
11,8,60.0,64.0,57.0,59.0,0,57.0
11,9,60.0,64.0,61.0,80.0,0,61.0
12,0,52.0,40.0,48.0,43.0,1,43.0
12,1,52.0,40.0,50.0,37.0,1,37.0
12,2,52.0,40.0,67.0,48.0,0,67.0
12,3,52.0,40.0,47.0,42.0,0,47.0
12,4,52.0,40.0,45.0,54.0,0,45.0
13,0,60.0,40.0,57.0,21.0,0,57.0
13,1,60.0,40.0,74.0,33.0,1,33.0
13,2,60.0,40.0,59.0,47.0,0,59.0
13,3,60.0,40.0,57.0,44.0,1,44.0
13,4,60.0,40.0,56.0,44.0,0,56.0
14,0,52.0,60.0,45.0,46.0,1,46.0
14,1,52.0,60.0,44.0,58.0,0,44.0
14,2,52.0,60.0,56.0,53.0,1,53.0
14,3,52.0,60.0,56.0,55.0,0,56.0
14,4,52.0,60.0,53.0,57.0,1,57.0
15,0,40.0,70.0,33.0,60.0,0,33.0
15,1,40.0,70.0,43.0,66.0,0,43.0
15,2,40.0,70.0,38.0,63.0,1,63.0
15,3,40.0,70.0,43.0,77.0,0,43.0
15,4,40.0,70.0,34.0,59.0,0,34.0
16,0,28.0,40.0,26.0,37.0,0,26.0
16,1,28.0,40.0,24.0,35.0,0,24.0
16,2,28.0,40.0,23.0,42.0,0,23.0
16,3,28.0,40.0,49.0,38.0,1,38.0
16,4,28.0,40.0,37.0,42.0,0,37.0
16,5,28.0,40.0,36.0,57.0,0,36.0
16,6,28.0,40.0,26.0,48.0,0,26.0
16,7,28.0,40.0,27.0,48.0,0,27.0
16,8,28.0,40.0,28.0,33.0,0,28.0
16,9,28.0,40.0,13.0,40.0,0,13.0
17,0,32.0,40.0,34.0,40.0,0,34.0
17,1,32.0,40.0,46.0,43.0,1,43.0
17,2,32.0,40.0,25.0,50.0,0,25.0
17,3,32.0,40.0,10.0,46.0,0,10.0
17,4,32.0,40.0,28.0,37.0,0,28.0
17,5,32.0,40.0,28.0,31.0,0,28.0
17,6,32.0,40.0,37.0,48.0,0,37.0
17,7,32.0,40.0,29.0,39.0,0,29.0
17,8,32.0,40.0,31.0,36.0,0,31.0
17,9,32.0,40.0,40.0,25.0,0,40.0
18,0,60.0,30.0,65.0,33.0,0,65.0
18,1,60.0,30.0,60.0,34.0,0,60.0
18,2,60.0,30.0,53.0,22.0,1,22.0
18,3,60.0,30.0,69.0,33.0,1,33.0
18,4,60.0,30.0,63.0,22.0,0,63.0
18,5,60.0,30.0,62.0,35.0,0,62.0
18,6,60.0,30.0,65.0,36.0,0,65.0
18,7,60.0,30.0,48.0,27.0,0,48.0
18,8,60.0,30.0,66.0,23.0,0,66.0
18,9,60.0,30.0,66.0,19.0,0,66.0
19,0,40.0,60.0,46.0,65.0,0,46.0
19,1,40.0,60.0,39.0,66.0,0,39.0
19,2,40.0,60.0,53.0,55.0,0,53.0
19,3,40.0,60.0,44.0,51.0,1,51.0
