run,trial,mean0,mean1,reward0,reward1,choice,reward
0,0,20.0,40.0,30.0,44.0,1,44.0
0,1,20.0,40.0,19.0,33.0,0,19.0
0,2,20.0,40.0,17.0,41.0,1,41.0
0,3,20.0,40.0,23.0,28.0,0,23.0
0,4,20.0,40.0,21.0,50.0,1,50.0
1,0,28.0,40.0,36.0,46.0,0,36.0
1,1,28.0,40.0,32.0,39.0,1,39.0
1,2,28.0,40.0,19.0,47.0,1,47.0
1,3,28.0,40.0,17.0,27.0,0,17.0
1,4,28.0,40.0,33.0,36.0,1,36.0
2,0,40.0,32.0,38.0,45.0,1,45.0
2,1,40.0,32.0,38.0,43.0,0,38.0
2,2,40.0,32.0,42.0,32.0,1,32.0
2,3,40.0,32.0,44.0,26.0,1,26.0
2,4,40.0,32.0,43.0,40.0,1,40.0
3,0,48.0,60.0,48.0,60.0,1,60.0
3,1,48.0,60.0,47.0,60.0,0,47.0
3,2,48.0,60.0,47.0,67.0,1,67.0
3,3,48.0,60.0,38.0,48.0,1,48.0
3,4,48.0,60.0,45.0,63.0,1,63.0
4,0,36.0,40.0,20.0,45.0,0,20.0
4,1,36.0,40.0,28.0,33.0,1,33.0
4,2,36.0,40.0,41.0,37.0,1,37.0
4,3,36.0,40.0,34.0,45.0,0,34.0
4,4,36.0,40.0,36.0,38.0,1,38.0
5,0,60.0,80.0,46.0,82.0,0,46.0
5,1,60.0,80.0,59.0,73.0,1,73.0
5,2,60.0,80.0,50.0,74.0,1,74.0
5,3,60.0,80.0,50.0,88.0,0,50.0
5,4,60.0,80.0,60.0,74.0,1,74.0
5,5,60.0,80.0,63.0,73.0,1,73.0
5,6,60.0,80.0,53.0,77.0,1,77.0
5,7,60.0,80.0,52.0,82.0,1,82.0
5,8,60.0,80.0,65.0,91.0,1,91.0
5,9,60.0,80.0,60.0,84.0,1,84.0
6,0,56.0,60.0,50.0,52.0,0,50.0
6,1,56.0,60.0,55.0,57.0,0,55.0
6,2,56.0,60.0,62.0,50.0,0,62.0
6,3,56.0,60.0,58.0,69.0,1,69.0
6,4,56.0,60.0,62.0,60.0,1,60.0
7,0,60.0,64.0,63.0,70.0,1,70.0
7,1,60.0,64.0,64.0,58.0,0,64.0
7,2,60.0,64.0,63.0,66.0,0,63.0
7,3,60.0,64.0,62.0,63.0,1,63.0
7,4,60.0,64.0,66.0,69.0,1,69.0
7,5,60.0,64.0,53.0,67.0,1,67.0
7,6,60.0,64.0,50.0,63.0,1,63.0
7,7,60.0,64.0,60.0,61.0,1,61.0
7,8,60.0,64.0,56.0,66.0,1,66.0
7,9,60.0,64.0,53.0,69.0,1,69.0
8,0,40.0,20.0,36.0,10.0,0,36.0
8,1,40.0,20.0,45.0,24.0,0,45.0
