trial,mean0,mean1,reward0,reward1,choice,reward,run
0,44.0,40.0,43.0,39.0,1,39.0,0
1,44.0,40.0,51.0,40.0,1,40.0,0
2,44.0,40.0,38.0,41.0,0,38.0,0
3,44.0,40.0,46.0,44.0,0,46.0,0
4,44.0,40.0,59.0,38.0,1,38.0,0
0,64.0,60.0,62.0,60.0,0,62.0,1
1,64.0,60.0,49.0,64.0,0,49.0,1
2,64.0,60.0,64.0,61.0,1,61.0,1
3,64.0,60.0,64.0,71.0,1,71.0,1
4,64.0,60.0,55.0,61.0,1,61.0,1
5,64.0,60.0,56.0,61.0,1,61.0,1
6,64.0,60.0,60.0,72.0,1,72.0,1
7,64.0,60.0,77.0,69.0,1,69.0,1
8,64.0,60.0,61.0,69.0,1,69.0,1
9,64.0,60.0,58.0,63.0,1,63.0,1
0,60.0,52.0,44.0,53.0,0,44.0,2
1,60.0,52.0,54.0,44.0,0,54.0,2
2,60.0,52.0,49.0,58.0,1,58.0,2
3,60.0,52.0,64.0,64.0,1,64.0,2
4,60.0,52.0,50.0,56.0,1,56.0,2
0,52.0,40.0,53.0,38.0,1,38.0,3
1,52.0,40.0,52.0,35.0,1,35.0,3
2,52.0,40.0,47.0,39.0,1,39.0,3
3,52.0,40.0,56.0,34.0,0,56.0,3
4,52.0,40.0,47.0,43.0,0,47.0,3
5,52.0,40.0,64.0,40.0,1,40.0,3
6,52.0,40.0,47.0,33.0,0,47.0,3
7,52.0,40.0,57.0,33.0,0,57.0,3
8,52.0,40.0,54.0,49.0,0,54.0,3
9,52.0,40.0,51.0,57.0,0,51.0,3
0,48.0,60.0,46.0,43.0,0,46.0,4
1,48.0,60.0,52.0,44.0,1,44.0,4
2,48.0,60.0,54.0,59.0,0,54.0,4
3,48.0,60.0,55.0,62.0,1,62.0,4
4,48.0,60.0,40.0,58.0,1,58.0,4
5,48.0,60.0,38.0,70.0,1,70.0,4
6,48.0,60.0,60.0,61.0,1,61.0,4
7,48.0,60.0,47.0,61.0,1,61.0,4
8,48.0,60.0,66.0,57.0,1,57.0,4
9,48.0,60.0,57.0,58.0,1,58.0,4
0,28.0,40.0,32.0,34.0,0,32.0,5
1,28.0,40.0,43.0,32.0,1,32.0,5
