engine,run,performance_score1,performance_score1_name,performance_score1_CI,behaviour_score1,behaviour_score1_name,behaviour_score1_CI
llama_13,0,0.50425,rewards mean,0.0154965379503652,0.0265390395850521,interaction effect,0.0083298627238101
llama-2-13,0,0.50745,rewards mean,0.0069290504159504,0.0089805504914228,interaction effect,0.0063127857698259
text-davinci-003,0,0.5335,rewards mean,0.0218696941899511,0.0189329278362571,interaction effect,0.0140814040122108
hf_Llama-2-13b-longlora-32k,0,0.5083409298085688,rewards mean,0.0066154169932652,0.0225983402171517,interaction effect,0.0062564031451846
hf_Llama-2-70b-chat-longlora-32k,0,0.5067,rewards mean,0.0069291975161421,0.0059724962786564,interaction effect,0.0028102484742362
llama-2-70-chat,0,0.50805,rewards mean,0.0069289215057945,0.0064329422317291,interaction effect,0.0025613548802569
hf_koala-7B-HF,0,0.4946,rewards mean,0.0069294155444156,2.3787395664331967e-16,interaction effect,9.324371820386375e-17
hf_CodeLlama-34B,0,0.51535,rewards mean,0.0069265532905785,0.0241655523694655,interaction effect,0.003417838657934
llama_30,0,0.50375,rewards mean,0.0154966619311305,-4.033232081646077e-17,interaction effect,2.6081134699744e-17
hf_falcon-40b,0,0.51045,rewards mean,0.0069283060306991,0.0101446712648274,interaction effect,0.0048302269084934
hf_CodeLlama-13B,0,0.4948,rewards mean,0.0069294449285026,-3.083470978548774e-16,interaction effect,3.987146288084459e-17
llama_65,0,0.49,rewards mean,0.0154939980635728,0.0182578706213833,interaction effect,0.008146969590612
hf_LongAlpaca-13B,0,0.4905,rewards mean,0.0069285687579219,1.0193939876251834e-15,interaction effect,7.43611711343353e-16
claude-1,0,0.539,rewards mean,0.0218521674396592,0.0341652142764156,interaction effect,0.0106562236387061
hf_LongAlpaca-70B,0,0.495,rewards mean,0.0069294732036384,4.597017211338539e-17,interaction effect,3.765196374323239e-17
random,0,0.5000999000999001,rewards mean,0.006926357078708343,0.0009256000391611218,interaction effect,0.007754024377273118
gpt-4,0,0.534,rewards mean,0.0218682112787549,0.159535163749968,interaction effect,0.0187559490913678
hf_Llama-2-7b-longlora-16k-ft,0,0.50135,rewards mean,0.0069297944440475,-0.0012153792954794,interaction effect,0.0077756268694943
