engine,run,performance_score1,performance_score1_name,behaviour_score1,behaviour_score1_name,behaviour_score2,behaviour_score2_name
claude-3-opus-20240229,0,0.5444444444444444,Average rewards,0.6555555555555556,Risk,0.5568181818181818,Adj Risk
claude-3-opus-20240229,1,1.022222222222222,Average rewards,1.1222222222222222,Risk,1.0454545454545454,Adj Risk
claude-3-opus-20240229,2,0.7555555555555555,Average rewards,0.7555555555555555,Risk,0.7555555555555555,Adj Risk
claude-3-opus-20240229,3,0.9,Average rewards,1.011111111111111,Risk,0.9759036144578314,Adj Risk
claude-3-opus-20240229,4,0.3888888888888889,Average rewards,0.4,Risk,0.3932584269662921,Adj Risk
claude-3-opus-20240229,5,1.3555555555555556,Average rewards,1.4333333333333331,Risk,1.3863636363636365,Adj Risk
claude-3-opus-20240229,6,1.0666666666666669,Average rewards,1.0777777777777775,Risk,1.0786516853932584,Adj Risk
claude-3-opus-20240229,7,0.9111111111111112,Average rewards,0.9222222222222224,Risk,0.9213483146067416,Adj Risk
claude-3-opus-20240229,8,0.7666666666666667,Average rewards,0.8222222222222222,Risk,0.7931034482758621,Adj Risk
claude-3-opus-20240229,9,0.2333333333333333,Average rewards,0.2888888888888888,Risk,0.2470588235294117,Adj Risk
hf_Yi-34B,0,0.7,Average rewards,15.411111111111111,Risk,1.75,Adj Risk
hf_Yi-34B,1,0.4777777777777778,Average rewards,24.877777777777776,Risk,2.0476190476190474,Adj Risk
hf_Yi-34B,2,0.17777777777777778,Average rewards,23.81111111111111,Risk,1.3333333333333333,Adj Risk
hf_Yi-34B,3,0.0,Average rewards,30.61111111111111,Risk,,Adj Risk
hf_Yi-34B,4,0.16666666666666666,Average rewards,21.72222222222222,Risk,0.5769230769230769,Adj Risk
hf_Yi-34B,5,0.7555555555555555,Average rewards,24.977777777777778,Risk,7.555555555555555,Adj Risk
hf_Yi-34B,6,0.08888888888888889,Average rewards,27.933333333333334,Risk,4.0,Adj Risk
hf_Yi-34B,7,0.7888888888888889,Average rewards,22.07777777777778,Risk,2.730769230769231,Adj Risk
hf_Yi-34B,8,0.2222222222222222,Average rewards,20.177777777777777,Risk,0.6896551724137931,Adj Risk
hf_Yi-34B,9,0.8666666666666667,Average rewards,24.31111111111111,Risk,4.105263157894737,Adj Risk
gpt-4,0,2.105555555555556,Average rewards,2.5055555555555555,Risk,2.283132530120482,Adj Risk
hf_Mixtral-8x7B-v0.1,0,0.8222222222222222,Average rewards,3.4444444444444446,Risk,1.0277777777777777,Adj Risk
hf_Mixtral-8x7B-v0.1,1,2.1,Average rewards,6.5,Risk,2.486842105263158,Adj Risk
hf_Mixtral-8x7B-v0.1,2,1.4444444444444444,Average rewards,7.4222222222222225,Risk,2.063492063492064,Adj Risk
hf_Mixtral-8x7B-v0.1,3,0.8777777777777778,Average rewards,3.6222222222222222,Risk,1.0128205128205128,Adj Risk
hf_Mixtral-8x7B-v0.1,4,0.6777777777777778,Average rewards,6.611111111111111,Risk,1.0338983050847457,Adj Risk
hf_Mixtral-8x7B-v0.1,5,1.6777777777777778,Average rewards,7.6,Risk,2.2205882352941178,Adj Risk
hf_Mixtral-8x7B-v0.1,6,0.9222222222222224,Average rewards,4.255555555555556,Risk,1.1690140845070425,Adj Risk
