engine,run,performance_score1,performance_score1_name,behaviour_score1,behaviour_score1_name,behaviour_score2,behaviour_score2_name
llama_13,0,0.7333333333333333,Average rewards,0.8444444444444444,Risk,0.7857142857142857,Adj Risk
llama_13,1,0.7777777777777778,Average rewards,1.0,Risk,0.8333333333333334,Adj Risk
llama_13,2,0.8666666666666667,Average rewards,0.9333333333333332,Risk,0.8863636363636364,Adj Risk
llama_13,3,0.7111111111111111,Average rewards,0.7777777777777778,Risk,0.7441860465116279,Adj Risk
llama_13,4,0.8888888888888888,Average rewards,0.8888888888888888,Risk,0.8888888888888888,Adj Risk
llama_13,5,1.1333333333333333,Average rewards,1.2444444444444445,Risk,1.1590909090909092,Adj Risk
llama_13,6,0.8888888888888888,Average rewards,1.1111111111111112,Risk,0.9523809523809524,Adj Risk
llama_13,7,0.8666666666666667,Average rewards,1.0666666666666669,Risk,0.9069767441860463,Adj Risk
llama_13,8,0.7555555555555555,Average rewards,0.8222222222222222,Risk,0.8095238095238095,Adj Risk
llama_13,9,0.9333333333333332,Average rewards,0.9333333333333332,Risk,0.9333333333333332,Adj Risk
llama-2-13,0,0.6444444444444445,Average rewards,0.6888888888888889,Risk,0.6590909090909091,Adj Risk
llama-2-13,1,0.7555555555555555,Average rewards,0.8222222222222222,Risk,0.7727272727272727,Adj Risk
llama-2-13,2,0.8,Average rewards,0.8222222222222222,Risk,0.8181818181818182,Adj Risk
llama-2-13,3,1.0888888888888888,Average rewards,1.2444444444444445,Risk,1.1666666666666667,Adj Risk
llama-2-13,4,0.9555555555555556,Average rewards,1.0666666666666669,Risk,1.0,Adj Risk
llama-2-13,5,0.6666666666666666,Average rewards,0.7777777777777778,Risk,0.75,Adj Risk
llama-2-13,6,0.9555555555555556,Average rewards,1.2444444444444445,Risk,1.075,Adj Risk
llama-2-13,7,0.6666666666666666,Average rewards,0.7333333333333333,Risk,0.6976744186046512,Adj Risk
llama-2-13,8,0.7333333333333333,Average rewards,0.8,Risk,0.75,Adj Risk
llama-2-13,9,1.022222222222222,Average rewards,1.1333333333333333,Risk,1.069767441860465,Adj Risk
text-davinci-003,0,2.4,Average rewards,4.622222222222222,Risk,3.085714285714286,Adj Risk
text-davinci-003,1,3.4444444444444446,Average rewards,6.5777777777777775,Risk,4.5588235294117645,Adj Risk
text-davinci-003,2,7.2,Average rewards,12.0,Risk,9.529411764705882,Adj Risk
text-davinci-003,3,0.1777777777777777,Average rewards,27.288888888888888,Risk,1.6,Adj Risk
text-davinci-003,4,0.0,Average rewards,25.53333333333333,Risk,0.0,Adj Risk
text-davinci-003,5,0.0,Average rewards,30.044444444444444,Risk,,Adj Risk
