engine,run,performance_score1,performance_score1_name,behaviour_score1,behaviour_score1_name,behaviour_score2,behaviour_score2_name,behaviour_score3,behaviour_score3_name,behaviour_score4,behaviour_score4_name
llama_13,0,0.6666666666666666,mean_reward,0.0002646296427344,learning_rate,0.2611568876977947,optimism_bias,0.0687353703572655,difference to optimal LR,0.0891568876977947,difference to optimal optimism bias
llama_13,1,0.5625,mean_reward,0.0007778936208923,learning_rate,0.0363576458968659,optimism_bias,0.0682221063791076,difference to optimal LR,0.135642354103134,difference to optimal optimism bias
llama_13,2,0.53125,mean_reward,0.0105683767857044,learning_rate,0.0378533695534866,optimism_bias,0.0584316232142955,difference to optimal LR,0.1341466304465133,difference to optimal optimism bias
llama_13,3,0.59375,mean_reward,1.0,learning_rate,0.6940065117591223,optimism_bias,0.931,difference to optimal LR,0.5220065117591224,difference to optimal optimism bias
llama_13,4,0.59375,mean_reward,0.0511195773638248,learning_rate,0.0029135702946846,optimism_bias,0.0178804226361751,difference to optimal LR,0.1690864297053153,difference to optimal optimism bias
llama_13,5,0.5104166666666666,mean_reward,0.0204413278574734,learning_rate,0.153514716750139,optimism_bias,0.0485586721425265,difference to optimal LR,0.0184852832498609,difference to optimal optimism bias
llama_13,6,0.5208333333333334,mean_reward,4.367848939185367e-05,learning_rate,0.0077598066886671,optimism_bias,0.0689563215106081,difference to optimal LR,0.1642401933113328,difference to optimal optimism bias
llama_13,7,0.3958333333333333,mean_reward,0.9495026979423828,learning_rate,1.0,optimism_bias,0.8805026979423827,difference to optimal LR,0.8280000000000001,difference to optimal optimism bias
llama_13,8,0.4375,mean_reward,0.0,learning_rate,-1.0,optimism_bias,0.069,difference to optimal LR,1.172,difference to optimal optimism bias
llama_13,9,0.5729166666666666,mean_reward,0.0001321307427796,learning_rate,0.017206019530786,optimism_bias,0.0688678692572204,difference to optimal LR,0.1547939804692139,difference to optimal optimism bias
llama_13,10,0.6041666666666666,mean_reward,4.875721357472861e-05,learning_rate,0.0028834765054784,optimism_bias,0.0689512427864252,difference to optimal LR,0.1691165234945215,difference to optimal optimism bias
llama_13,11,0.4895833333333333,mean_reward,0.2231879397849803,learning_rate,0.5581656702461575,optimism_bias,0.1541879397849803,difference to optimal LR,0.3861656702461575,difference to optimal optimism bias
llama_13,12,0.375,mean_reward,0.0,learning_rate,1.0,optimism_bias,0.069,difference to optimal LR,0.8280000000000001,difference to optimal optimism bias
llama_13,13,0.4791666666666667,mean_reward,1.0,learning_rate,-0.9911686593322652,optimism_bias,0.931,difference to optimal LR,1.1631686593322652,difference to optimal optimism bias
llama_13,14,0.40625,mean_reward,0.000187277667123,learning_rate,0.9717718968280028,optimism_bias,0.0688127223328769,difference to optimal LR,0.7997718968280028,difference to optimal optimism bias
llama_13,15,0.625,mean_reward,0.0013577003026905,learning_rate,0.9768562331811036,optimism_bias,0.0676422996973094,difference to optimal LR,0.8048562331811036,difference to optimal optimism bias
llama_13,16,0.6041666666666666,mean_reward,0.0315586156764387,learning_rate,0.0080182617410597,optimism_bias,0.0374413843235612,difference to optimal LR,0.1639817382589402,difference to optimal optimism bias
llama_13,17,0.5520833333333334,mean_reward,0.0395261979509078,learning_rate,0.009390829588105,optimism_bias,0.0294738020490921,difference to optimal LR,0.1626091704118949,difference to optimal optimism bias
llama_13,18,0.5625,mean_reward,4.57901730578416e-06,learning_rate,-0.0653334408106307,optimism_bias,0.0689954209826942,difference to optimal LR,0.2373334408106306,difference to optimal optimism bias
